Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0008,67113,1995,,,,,,,,,,,,,,,,,6.8,28,7.5,10,9.6,01,10.3,13,
IDCJAC0008,67113,1996,14.3,27,11.6,13,13.0,29,3.7,19,4.7,31,1.2,09,0.1,17,1.3,10,4.6,04,5.2,02,7.8,11,11.3,09,0.1
IDCJAC0008,67113,1997,11.3,14,17.2,06,11.5,24,7.4,09,5.0,31,1.2,12,2.1,20,1.2,10,5.6,30,6.7,04,10.3,19,14.3,12,1.2
IDCJAC0008,67113,1998,15.7,27,12.0,18,13.5,11,8.5,27,3.2,30,2.3,27,1.5,31,0.5,01,4.0,17,5.8,08,8.3,04,11.2,02,0.5
IDCJAC0008,67113,1999,15.8,16,13.2,20,10.7,30,6.4,27,2.7,16,-0.5,17,2.4,24,2.2,03,3.7,19,8.7,21,9.6,20,11.2,21,-0.5
IDCJAC0008,67113,2000,12.6,23,14.4,14,13.3,26,5.8,23,3.3,23,-0.4,04,-0.2,13,1.8,11,4.0,11,6.3,02,10.4,09,12.3,02,-0.4
IDCJAC0008,67113,2001,13.7,11,14.1,19,10.5,27,9.7,14,3.4,31,1.1,25,1.1,09,1.4,24,4.3,02,6.2,20,9.5,14,12.5,28,1.1
IDCJAC0008,67113,2002,14.7,13,14.6,11,12.5,24,11.8,07,4.3,18,0.3,27,-1.4,12,1.6,14,3.8,20,6.4,01,9.1,06,9.8,07,-1.4
IDCJAC0008,67113,2003,15.1,02,17.0,05,11.6,02,9.9,22,6.1,31,2.2,16,-0.1,28,1.4,02,2.5,05,5.0,10,8.4,03,14.0,06,-0.1
IDCJAC0008,67113,2004,13.8,09,14.3,28,11.6,31,7.5,25,2.1,31,0.5,28,0.5,07,1.4,10,2.6,13,7.8,16,10.2,04,10.7,29,0.5
IDCJAC0008,67113,2005,13.7,01,11.8,04,10.0,25,10.6,01,2.2,31,0.9,23,1.6,23,-0.5,13,4.2,01,6.9,01,9.9,18,11.8,20,-0.5
IDCJAC0008,67113,2006,16.8,05,14.6,08,13.8,27,3.6,23,3.4,09,1.0,28,1.1,13,1.8,09,6.9,14,6.3,23,9.1,17,12.0,17,1.0
IDCJAC0008,67113,2007,14.6,05,16.3,14,9.6,31,10.6,11,3.4,31,1.9,23,-1.3,17,2.3,08,5.1,23,6.9,14,11.9,06,12.3,14,-1.3
IDCJAC0008,67113,2008,12.7,24,12.5,24,8.3,31,4.8,29,4.5,18,1.8,30,0.3,23,0.7,12,3.1,11,6.5,07,10.0,23,10.7,21,0.3
IDCJAC0008,67113,2009,12.9,18,15.1,28,10.9,06,6.9,29,4.7,14,1.7,11,1.5,25,1.5,09,4.2,11,7.3,17,11.6,14,12.6,03,1.5
IDCJAC0008,67113,2010,12.2,19,14.9,26,11.9,17,7.1,27,3.5,13,-1.1,30,1.4,01,2.2,18,3.5,17,5.6,17,9.9,03,12.1,20,-1.1
IDCJAC0008,67113,2011,14.6,30,14.5,24,13.8,08,7.9,12,2.6,15,2.1,27,-0.3,09,1.6,10,3.4,13,7.0,01,12.7,02,10.2,03,-0.3
IDCJAC0008,67113,2012,10.6,12,14.2,12,10.2,24,9.5,13,3.5,23,1.0,24,1.8,02,0.7,08,2.2,01,6.0,13,9.7,12,10.5,06,0.7
IDCJAC0008,67113,2013,15.6,15,13.8,02,12.5,19,8.0,26,3.9,20,3.4,22,1.5,07,2.1,22,5.7,27,6.3,15,8.3,06,11.0,07,1.5
IDCJAC0008,67113,2014,13.1,27,12.4,07,12.9,18,8.5,23,5.0,05,4.0,28,0.1,09,1.5,03,4.9,20,7.2,16,9.4,03,14.8,21,0.1
IDCJAC0008,67113,2015,13.7,30,13.9,04,9.1,27,8.4,28,3.9,14,2.0,03,0.4,06,0.0,05,4.4,02,10.7,24,12.4,17,12.4,05,0.0
IDCJAC0008,67113,2016,12.9,15,15.5,02,11.6,19,10.6,25,2.0,30,1.1,30,1.0,15,2.6,12,5.5,20,6.9,12,9.1,01,13.9,20,1.0
IDCJAC0008,67113,2017,17.1,08,14.1,21,14.2,31,7.3,29,2.4,30,3.1,25,0.5,22,3.5,29,3.8,10,7.6,01,9.9,09,14.6,07,0.5
IDCJAC0008,67113,2018,12.4,18,14.6,28,8.3,27,10.8,25,3.8,31,1.5,24,-1.8,16,0.8,29,4.0,17,7.7,01,10.3,09,12.5,24,-1.8
IDCJAC0008,67113,2019,18.3,12,13.9,26,10.9,31,6.2,28,,,,,,,,,,,,,,,,,
