stn_number,lat,lng,elev
33002,-19.62,147.38,17
33013,-20.55,147.85,196
33045,-21.17,149.18,5
33106,-20.37,148.95,59
33119,-21.12,149.22,30
33295,-19.46,147.48,8
33327,-20.02,148.21,6
33328,-19.78,146.5,326
34084,-20.05,146.27,290
35134,-23.6,148.81,193
35264,-23.57,148.18,189
36007,-23.55,145.29,267
36026,-24.26,144.44,203
36031,-23.44,144.28,192
36034,-24.43,145.43,281
37010,-19.92,138.12,231
38000,-24.36,139.47,91
38003,-22.91,139.9,162
38026,-25.9,139.35,47
39059,-24.11,152.72,4
39066,-25.62,151.62,111
39122,-23.44,151.91,3
39123,-23.86,151.26,75
39128,-24.91,152.32,31
39326,-23.87,151.22,17
40004,-27.63,152.71,24
40043,-27.03,153.47,100
40068,-25.93,153.19,96
40082,-27.54,152.34,89
40093,-26.18,152.64,65
40126,-25.51,152.72,9
4019,-19.74,120.84,8
40211,-27.57,153.01,13
4028,-20.11,119.58,9
40284,-26.96,152.96,48
4032,-20.37,118.63,6
40405,-25.32,152.88,13
40717,-28.17,153.51,4
40764,-27.94,153.43,3
4083,-20.71,116.77,5
40842,-27.39,153.13,5
40854,-27.68,153.19,14
40861,-26.6,153.09,3
4090,-20.76,117.16,11
40913,-27.48,153.04,8
40922,-26.57,151.84,434
4100,-19.59,119.1,9
4106,-21.18,119.75,182
41522,-27.16,151.26,344
42112,-26.66,150.18,305
43015,-25.84,148.57,390
44010,-28.03,147.48,183
44021,-26.41,146.26,302
44026,-28.07,145.68,189
45009,-27.4,141.81,115
46012,-31.52,143.39,94
46126,-29.44,142.06,176
46128,-31.09,141.7,181
46129,-30.85,143.07,158
46136,-29.76,143.11,121
46142,-30.07,141.01,94
47016,-34.04,141.27,26
47019,-32.39,142.42,61
47029,-33.39,142.57,53
47048,-32.0,141.47,281
47113,-33.34,143.4,78
48015,-29.96,146.87,115
48027,-31.48,145.83,260
48031,-29.54,148.58,145
48079,-29.7,144.15,108
48237,-31.54,145.8,218
48243,-29.43,147.97,154
48245,-30.04,145.95,107
48247,-30.1,145.33,109
48250,-31.73,144.93,179
49000,-32.88,144.31,100
49002,-34.64,143.56,61
49136,-32.83,145.88,209
50017,-33.94,147.2,257
50031,-32.72,148.19,285
50052,-33.07,147.23,195
5007,-22.24,114.1,5
5008,-21.19,115.98,11
50137,-33.07,147.21,193
5017,-21.67,115.11,11
5026,-22.24,118.34,463
5084,-21.46,115.02,5
5094,-20.87,115.41,6
5098,-22.3,118.45,474
51039,-31.55,147.2,173
51049,-31.99,147.95,215
51161,-30.98,148.38,181
51162,-30.24,147.53,130
51164,-31.08,146.93,178
52020,-28.98,148.99,160
52088,-30.04,148.12,133
53115,-29.49,149.85,213
54003,-30.38,150.61,499
54038,-30.32,149.83,229
54104,-29.39,151.24,462
55024,-31.03,150.27,307
55049,-31.51,150.68,390
55136,-30.97,151.35,925
55202,-30.95,150.25,263
55325,-31.07,150.84,395
56013,-29.7,151.69,1060
56018,-29.78,151.08,664
56032,-29.05,152.02,838
56037,-30.52,151.67,987
56229,-30.21,151.68,1329
56238,-30.53,151.62,1079
56242,-29.78,151.11,582
56243,-29.68,151.69,1044
57095,-28.76,152.45,555
58012,-29.43,153.36,27
58077,-29.62,152.96,25
58158,-28.34,153.38,8
58161,-29.76,153.03,25
58198,-28.84,153.56,1
58208,-28.88,153.06,21
58212,-29.18,153.4,63
58214,-28.83,153.26,9
58216,-28.64,153.64,95
59007,-31.07,152.77,13
59030,-30.92,153.09,117
59140,-30.34,152.72,746
59151,-30.32,153.12,4
60013,-32.18,152.51,4
60085,-31.39,152.25,155
6011,-24.89,113.67,4
60139,-31.43,152.87,4
60141,-31.89,152.51,8
6022,-25.05,115.21,144
6044,-25.93,113.53,6
6072,-23.03,115.04,111
6099,-26.9,115.96,287
6105,-25.89,113.58,34
61051,-31.77,150.84,467
61054,-32.71,152.16,25
61055,-32.92,151.8,33
61078,-32.79,151.84,8
61089,-32.06,150.93,216
61250,-32.63,151.59,30
61260,-32.79,151.34,61
61287,-32.19,150.17,375
61288,-32.33,151.46,200
61363,-32.03,150.83,221
61366,-33.28,151.58,19
61375,-33.29,151.21,305
61390,-32.89,151.71,21
61392,-31.74,150.79,729
61397,-32.59,151.17,45
61412,-33.09,151.46,6
61425,-33.44,151.36,7
61428,-32.7,151.49,28
61430,-32.7,151.16,125
62013,-32.36,149.53,475
62100,-32.72,150.23,1130
62101,-32.56,149.61,471
63005,-33.43,149.56,713
63039,-33.71,150.31,1015
63063,-33.7,149.87,1088
63077,-33.71,150.58,320
63226,-33.48,150.13,900
63254,-33.32,149.08,922
63291,-33.41,149.65,745
63292,-33.62,150.27,1080
63303,-33.38,149.13,945
63308,-33.43,150.14,955
64008,-31.28,149.28,520
64009,-32.02,149.4,388
64017,-31.33,149.27,645
65034,-32.56,148.95,305
65068,-33.13,148.24,323
65070,-32.22,148.58,284
65103,-33.36,147.92,230
65111,-33.84,148.65,300
66037,-33.95,151.17,6
66051,-33.98,151.25,22
66059,-33.69,151.23,199
66062,-33.86,151.21,39
