Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,23885,2000,09,28.0,24,Y
IDCJAC0005,23885,2000,10,30.0,05,Y
IDCJAC0005,23885,2000,11,39.0,27,Y
IDCJAC0005,23885,2000,12,40.0,20,Y
IDCJAC0005,23885,2001,01,43.0,13,Y
IDCJAC0005,23885,2001,02,39.0,18,Y
IDCJAC0005,23885,2001,03,35.0,09,Y
IDCJAC0005,23885,2001,04,32.0,06,Y
IDCJAC0005,23885,2001,05,25.0,14,Y
IDCJAC0005,23885,2001,06,23.0,04,Y
IDCJAC0005,23885,2001,07,19.0,30,Y
IDCJAC0005,23885,2001,08,22.0,15,Y
IDCJAC0005,23885,2001,09,29.0,29,Y
IDCJAC0005,23885,2001,10,26.0,21,Y
IDCJAC0005,23885,2001,11,31.0,22,Y
IDCJAC0005,23885,2001,12,32.0,19,Y
IDCJAC0005,23885,2002,01,39.0,10,Y
IDCJAC0005,23885,2002,02,38.0,14,Y
IDCJAC0005,23885,2002,03,35.0,17,Y
IDCJAC0005,23885,2002,04,29.0,02,Y
IDCJAC0005,23885,2002,05,28.0,07,Y
IDCJAC0005,23885,2002,06,19.0,05,Y
IDCJAC0005,23885,2002,07,22.0,27,Y
IDCJAC0005,23885,2002,08,23.0,27,Y
IDCJAC0005,23885,2002,09,27.0,15,Y
IDCJAC0005,23885,2002,10,30.0,29,Y
IDCJAC0005,23885,2002,11,37.0,23,Y
IDCJAC0005,23885,2002,12,40.0,17,Y
IDCJAC0005,23885,2003,01,42.0,25,Y
IDCJAC0005,23885,2003,02,39.0,04,Y
IDCJAC0005,23885,2003,03,35.0,18,Y
IDCJAC0005,23885,2003,04,28.0,06,Y
IDCJAC0005,23885,2003,05,24.0,09,Y
IDCJAC0005,23885,2003,06,18.0,02,Y
IDCJAC0005,23885,2003,07,18.0,11,Y
IDCJAC0005,23885,2003,08,19.0,12,Y
IDCJAC0005,23885,2003,09,25.0,20,Y
IDCJAC0005,23885,2003,10,30.0,18,Y
IDCJAC0005,23885,2003,11,36.0,19,Y
IDCJAC0005,23885,2003,12,39.0,16,Y
IDCJAC0005,23885,2004,01,37.0,03,Y
IDCJAC0005,23885,2004,02,42.0,14,Y
IDCJAC0005,23885,2004,03,38.0,03,Y
IDCJAC0005,23885,2004,04,32.0,13,Y
IDCJAC0005,23885,2004,05,21.5,12,Y
IDCJAC0005,23885,2004,06,21.5,08,Y
IDCJAC0005,23885,2004,07,17.9,03,Y
IDCJAC0005,23885,2004,08,25.5,25,Y
IDCJAC0005,23885,2004,09,27.8,21,Y
IDCJAC0005,23885,2004,10,34.5,12,Y
IDCJAC0005,23885,2004,11,36.6,26,Y
IDCJAC0005,23885,2004,12,38.9,18,Y
IDCJAC0005,23885,2005,01,39.2,11,Y
IDCJAC0005,23885,2005,02,35.0,28,Y
IDCJAC0005,23885,2005,03,35.0,31,Y
IDCJAC0005,23885,2005,04,35.4,02,Y
IDCJAC0005,23885,2005,05,27.8,04,Y
IDCJAC0005,23885,2005,06,25.1,07,Y
IDCJAC0005,23885,2005,07,18.3,21,Y
IDCJAC0005,23885,2005,08,24.3,29,Y
IDCJAC0005,23885,2005,09,26.5,08,Y
IDCJAC0005,23885,2005,10,29.2,28,Y
IDCJAC0005,23885,2005,11,32.9,25,Y
IDCJAC0005,23885,2005,12,41.6,30,Y
IDCJAC0005,23885,2006,01,42.4,21,Y
IDCJAC0005,23885,2006,02,34.5,16,Y
IDCJAC0005,23885,2006,03,37.0,11,Y
IDCJAC0005,23885,2006,04,25.9,27,Y
IDCJAC0005,23885,2006,05,18.7,17,Y
IDCJAC0005,23885,2006,06,17.4,21,Y
IDCJAC0005,23885,2006,07,17.2,28,Y
IDCJAC0005,23885,2006,08,23.4,31,Y
IDCJAC0005,23885,2006,09,28.7,17,Y
IDCJAC0005,23885,2006,10,35.6,12,Y
IDCJAC0005,23885,2006,11,34.0,27,Y
IDCJAC0005,23885,2006,12,40.6,09,Y
IDCJAC0005,23885,2007,01,40.2,10,Y
IDCJAC0005,23885,2007,02,40.1,17,Y
IDCJAC0005,23885,2007,03,38.4,02,Y
IDCJAC0005,23885,2007,04,31.8,10,Y
IDCJAC0005,23885,2007,05,24.4,01,Y
IDCJAC0005,23885,2007,06,15.9,29,Y
IDCJAC0005,23885,2007,07,19.7,24,Y
IDCJAC0005,23885,2007,08,27.3,30,Y
IDCJAC0005,23885,2007,09,30.5,25,Y
IDCJAC0005,23885,2007,10,34.0,21,Y
IDCJAC0005,23885,2007,11,35.5,16,Y
IDCJAC0005,23885,2007,12,40.5,31,Y
IDCJAC0005,23885,2008,01,41.3,10,Y
IDCJAC0005,23885,2008,02,36.5,19,Y
IDCJAC0005,23885,2008,03,39.5,09,Y
IDCJAC0005,23885,2008,04,29.2,09,Y
IDCJAC0005,23885,2008,05,23.8,14,Y
IDCJAC0005,23885,2008,06,19.3,02,Y
IDCJAC0005,23885,2008,07,17.7,19,Y
IDCJAC0005,23885,2008,08,17.5,29,Y
IDCJAC0005,23885,2008,09,31.5,27,Y
IDCJAC0005,23885,2008,10,33.1,18,Y
IDCJAC0005,23885,2008,11,35.3,12,Y
IDCJAC0005,23885,2008,12,33.1,21,Y
IDCJAC0005,23885,2009,01,44.6,28,Y
IDCJAC0005,23885,2009,02,42.5,06,Y
IDCJAC0005,23885,2009,03,34.8,21,Y
IDCJAC0005,23885,2009,04,33.0,02,Y
IDCJAC0005,23885,2009,05,22.6,22,Y
IDCJAC0005,23885,2009,06,19.3,29,Y
IDCJAC0005,23885,2009,07,19.0,20,Y
IDCJAC0005,23885,2009,08,24.7,15,Y
IDCJAC0005,23885,2009,09,28.2,16,Y
IDCJAC0005,23885,2009,10,31.9,29,Y
IDCJAC0005,23885,2009,11,41.8,19,Y
IDCJAC0005,23885,2009,12,39.4,31,Y
IDCJAC0005,23885,2010,01,40.3,10,Y
IDCJAC0005,23885,2010,02,37.8,09,Y
IDCJAC0005,23885,2010,03,34.7,17,Y
IDCJAC0005,23885,2010,04,31.0,05,Y
IDCJAC0005,23885,2010,05,25.0,03,Y
IDCJAC0005,23885,2010,06,17.9,02,Y
IDCJAC0005,23885,2010,07,17.4,28,Y
IDCJAC0005,23885,2010,08,18.9,31,Y
IDCJAC0005,23885,2010,09,19.2,03,Y
IDCJAC0005,23885,2010,10,30.1,28,Y
IDCJAC0005,23885,2010,11,34.9,22,Y
IDCJAC0005,23885,2010,12,38.4,30,Y
IDCJAC0005,23885,2011,01,41.1,31,Y
IDCJAC0005,23885,2011,02,36.5,10,Y
IDCJAC0005,23885,2011,03,33.6,07,Y
IDCJAC0005,23885,2011,04,31.2,08,Y
IDCJAC0005,23885,2011,05,24.9,21,Y
IDCJAC0005,23885,2011,06,19.5,30,Y
IDCJAC0005,23885,2011,07,22.1,01,Y
IDCJAC0005,23885,2011,08,22.3,03,Y
IDCJAC0005,23885,2011,09,30.4,27,Y
IDCJAC0005,23885,2011,10,33.3,19,Y
IDCJAC0005,23885,2011,11,33.7,05,Y
IDCJAC0005,23885,2011,12,37.5,24,Y
IDCJAC0005,23885,2012,01,40.1,01,Y
IDCJAC0005,23885,2012,02,39.0,25,Y
IDCJAC0005,23885,2012,03,33.6,14,Y
IDCJAC0005,23885,2012,04,33.9,05,Y
IDCJAC0005,23885,2012,05,23.9,08,Y
IDCJAC0005,23885,2012,06,18.9,13,Y
IDCJAC0005,23885,2012,07,18.9,12,Y
IDCJAC0005,23885,2012,08,19.9,22,Y
IDCJAC0005,23885,2012,09,26.7,27,Y
IDCJAC0005,23885,2012,10,32.9,30,Y
IDCJAC0005,23885,2012,11,36.4,29,Y
IDCJAC0005,23885,2012,12,40.9,23,Y
IDCJAC0005,23885,2013,01,43.4,04,Y
IDCJAC0005,23885,2013,02,38.6,18,Y
IDCJAC0005,23885,2013,03,36.2,12,Y
IDCJAC0005,23885,2013,04,30.5,12,Y
IDCJAC0005,23885,2013,05,29.2,08,Y
IDCJAC0005,23885,2013,06,18.0,10,Y
IDCJAC0005,23885,2013,07,20.0,17,Y
IDCJAC0005,23885,2013,08,24.6,31,Y
IDCJAC0005,23885,2013,09,28.9,03,Y
IDCJAC0005,23885,2013,10,31.4,09,Y
IDCJAC0005,23885,2013,11,34.8,26,Y
IDCJAC0005,23885,2013,12,41.0,19,Y
IDCJAC0005,23885,2014,01,43.0,14,Y
IDCJAC0005,23885,2014,02,43.4,02,Y
IDCJAC0005,23885,2014,03,34.8,09,Y
IDCJAC0005,23885,2014,04,34.4,01,Y
IDCJAC0005,23885,2014,05,25.5,16,Y
IDCJAC0005,23885,2014,06,18.9,07,Y
IDCJAC0005,23885,2014,07,16.9,22,Y
IDCJAC0005,23885,2014,08,23.2,30,Y
IDCJAC0005,23885,2014,09,28.7,27,Y
IDCJAC0005,23885,2014,10,37.4,21,Y
IDCJAC0005,23885,2014,11,36.5,13,Y
IDCJAC0005,23885,2014,12,34.4,13,Y
IDCJAC0005,23885,2015,01,42.3,02,Y
IDCJAC0005,23885,2015,02,40.0,14,Y
IDCJAC0005,23885,2015,03,32.4,16,Y
IDCJAC0005,23885,2015,04,28.6,01,Y
IDCJAC0005,23885,2015,05,25.1,04,Y
IDCJAC0005,23885,2015,06,20.3,13,Y
IDCJAC0005,23885,2015,07,17.6,23,Y
IDCJAC0005,23885,2015,08,23.0,20,Y
IDCJAC0005,23885,2015,09,28.6,13,Y
IDCJAC0005,23885,2015,10,34.9,15,Y
IDCJAC0005,23885,2015,11,37.5,18,Y
IDCJAC0005,23885,2015,12,41.2,19,Y
IDCJAC0005,23885,2016,01,37.2,13,Y
IDCJAC0005,23885,2016,02,37.5,22,Y
IDCJAC0005,23885,2016,03,37.9,06,Y
IDCJAC0005,23885,2016,04,28.8,19,Y
IDCJAC0005,23885,2016,05,23.6,05,Y
IDCJAC0005,23885,2016,06,19.7,15,Y
IDCJAC0005,23885,2016,07,21.9,21,Y
IDCJAC0005,23885,2016,08,23.3,18,Y
IDCJAC0005,23885,2016,09,24.4,07,Y
IDCJAC0005,23885,2016,10,29.4,20,Y
IDCJAC0005,23885,2016,11,34.9,20,Y
IDCJAC0005,23885,2016,12,38.9,25,Y
IDCJAC0005,23885,2017,01,39.6,06,Y
IDCJAC0005,23885,2017,02,41.9,08,Y
IDCJAC0005,23885,2017,03,36.3,01,Y
IDCJAC0005,23885,2017,04,31.2,19,Y
IDCJAC0005,23885,2017,05,21.5,21,Y
IDCJAC0005,23885,2017,06,18.4,20,Y
IDCJAC0005,23885,2017,07,19.9,28,Y
IDCJAC0005,23885,2017,08,20.7,13,Y
IDCJAC0005,23885,2017,09,29.0,22,Y
IDCJAC0005,23885,2017,10,32.6,18,Y
IDCJAC0005,23885,2017,11,38.7,29,Y
IDCJAC0005,23885,2017,12,38.2,13,Y
IDCJAC0005,23885,2018,01,41.3,18,Y
IDCJAC0005,23885,2018,02,37.4,08,Y
IDCJAC0005,23885,2018,03,35.5,09,Y
IDCJAC0005,23885,2018,04,35.2,11,Y
IDCJAC0005,23885,2018,05,22.8,26,Y
IDCJAC0005,23885,2018,06,20.2,10,Y
IDCJAC0005,23885,2018,07,20.2,27,Y
IDCJAC0005,23885,2018,08,25.5,29,Y
IDCJAC0005,23885,2018,09,24.5,14,Y
IDCJAC0005,23885,2018,10,33.6,31,Y
IDCJAC0005,23885,2018,11,36.6,19,Y
IDCJAC0005,23885,2018,12,41.3,27,Y
IDCJAC0005,23885,2019,01,46.2,24,Y
IDCJAC0005,23885,2019,02,36.9,25,Y
IDCJAC0005,23885,2019,03,40.0,01,Y
