Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,56229,1981,null,null,null,null,null,null,null,null,65.2,93.2,123.8,89.8,null
IDCJAC0001,56229,1982,54.8,57.4,103.4,14.8,15.0,21.6,35.2,4.0,55.2,104.8,20.2,153.3,639.7
IDCJAC0001,56229,1983,105.6,100.8,36.0,143.8,141.0,39.2,54.6,66.3,70.8,166.2,81.7,134.0,1140.0
IDCJAC0001,56229,1984,159.6,122.4,44.2,69.9,13.2,49.8,121.2,48.0,64.4,43.8,78.0,106.4,920.9
IDCJAC0001,56229,1985,129.5,96.4,60.4,59.0,43.6,43.2,98.8,103.8,60.4,127.8,71.4,160.6,1054.9
IDCJAC0001,56229,1986,92.2,70.2,19.6,4.6,40.4,3.6,149.2,52.9,55.4,38.6,66.6,68.8,662.1
IDCJAC0001,56229,1987,169.2,27.2,173.6,13.2,68.6,36.0,29.8,113.0,33.0,67.6,87.8,90.0,909.0
IDCJAC0001,56229,1988,154.1,55.4,30.2,177.2,58.8,32.4,46.6,94.6,95.8,54.6,76.8,95.8,972.3
IDCJAC0001,56229,1989,93.4,95.8,149.2,83.6,44.0,72.0,94.6,17.8,21.4,44.8,123.0,105.8,945.4
IDCJAC0001,56229,1990,127.2,144.0,20.3,189.6,153.4,43.1,129.0,69.2,48.6,59.0,34.0,73.7,1091.1
IDCJAC0001,56229,1991,176.8,135.6,62.2,2.0,85.3,43.2,50.8,4.2,19.8,40.5,63.2,166.1,849.7
IDCJAC0001,56229,1992,110.8,145.0,19.0,72.2,46.0,23.4,34.0,50.2,42.8,76.6,100.7,86.6,807.3
IDCJAC0001,56229,1993,211.4,96.2,27.0,4.0,29.2,44.4,81.2,37.6,64.6,82.6,72.4,146.8,897.4
IDCJAC0001,56229,1994,122.6,103.0,75.2,26.4,8.4,21.6,17.2,20.4,45.2,40.4,97.2,127.4,705.0
IDCJAC0001,56229,1995,162.8,56.6,28.0,19.6,51.2,89.6,42.2,3.0,126.8,87.6,204.2,90.5,962.1
IDCJAC0001,56229,1996,286.1,119.0,25.7,22.6,123.8,93.3,63.8,80.1,83.8,39.4,88.4,135.1,1161.1
IDCJAC0001,56229,1997,111.0,250.4,41.4,3.4,91.8,23.4,14.6,10.8,70.2,77.8,133.4,137.4,965.6
IDCJAC0001,56229,1998,37.4,109.2,6.8,59.8,80.3,52.5,148.7,138.0,142.4,84.6,50.9,48.1,958.7
IDCJAC0001,56229,1999,121.4,78.0,130.4,57.3,13.2,26.3,42.4,null,50.0,146.5,119.3,97.6,null
IDCJAC0001,56229,2000,57.4,52.6,134.0,35.6,61.2,16.0,42.0,44.7,19.0,95.8,121.5,91.6,771.4
IDCJAC0001,56229,2001,88.9,103.2,195.0,39.8,72.2,11.4,51.6,40.5,36.0,51.6,202.1,63.0,955.3
IDCJAC0001,56229,2002,75.6,102.3,92.4,9.6,11.4,33.4,3.8,50.0,61.4,34.4,92.0,null,null
IDCJAC0001,56229,2003,44.6,180.9,109.0,136.3,33.0,41.0,30.4,49.7,12.0,120.0,36.5,128.6,922.0
IDCJAC0001,56229,2004,190.2,85.0,63.4,41.0,21.1,31.0,44.0,56.6,55.2,102.6,102.6,138.6,931.3
IDCJAC0001,56229,2005,77.2,175.4,14.6,24.2,40.6,118.8,34.0,25.4,116.7,60.8,141.0,84.2,912.9
IDCJAC0001,56229,2006,195.3,140.2,65.4,46.0,6.4,60.4,58.6,18.8,62.0,23.4,null,86.0,null
IDCJAC0001,56229,2007,76.8,112.4,126.6,61.0,44.0,63.7,20.6,116.8,10.1,154.2,106.8,221.2,1114.2
IDCJAC0001,56229,2008,91.2,147.8,3.6,39.0,25.4,76.8,41.2,44.6,60.2,71.4,169.0,77.4,847.6
IDCJAC0001,56229,2009,44.6,148.6,31.0,44.4,79.0,53.6,36.6,21.0,55.8,71.6,70.4,181.6,838.2
IDCJAC0001,56229,2010,90.8,37.8,59.2,15.0,78.4,51.0,107.9,96.7,97.3,91.4,188.6,113.8,1027.9
IDCJAC0001,56229,2011,102.8,114.2,101.4,53.2,73.2,87.1,16.4,108.4,90.9,75.8,250.2,105.7,1179.3
IDCJAC0001,56229,2012,88.2,157.6,52.2,48.4,27.6,55.2,108.8,14.4,22.0,41.0,149.8,108.8,874.0
IDCJAC0001,56229,2013,165.4,96.9,36.8,13.2,43.0,98.2,32.4,18.4,42.4,31.2,148.4,27.6,753.9
IDCJAC0001,56229,2014,8.9,38.2,183.0,29.0,20.4,53.2,22.6,79.0,20.2,13.4,61.4,136.4,665.7
IDCJAC0001,56229,2015,202.8,68.6,37.4,126.0,62.4,47.6,47.6,54.0,30.2,44.2,119.4,120.2,960.4
IDCJAC0001,56229,2016,146.8,20.6,23.6,35.6,65.0,136.0,60.6,108.6,120.6,98.0,34.2,67.9,917.5
IDCJAC0001,56229,2017,186.0,95.4,216.5,60.9,56.4,94.2,22.8,15.0,14.8,159.2,106.5,108.6,1136.3
IDCJAC0001,56229,2018,75.6,71.6,24.4,19.2,9.4,19.2,50.6,34.2,66.0,69.6,72.8,85.6,598.2
IDCJAC0001,56229,2019,100.2,8.6,48.6,3.6,null,null,null,null,null,null,null,null,null
