Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,9215,1993,,,,,,,,,,,,,,,,,26.5,10,27.0,20,36.4,24,40.0,17,
IDCJAC0005,9215,1994,41.1,31,35.8,17,36.7,11,34.3,12,29.2,03,21.8,18,25.9,21,25.0,08,28.7,20,33.4,21,36.8,30,39.3,30,41.1
IDCJAC0005,9215,1995,35.4,17,40.1,19,37.8,14,29.4,07,27.3,09,23.8,04,21.6,04,22.6,28,26.6,24,32.6,14,31.3,14,33.2,27,40.1
IDCJAC0005,9215,1996,38.4,16,40.6,11,39.4,08,34.1,17,30.9,07,21.2,14,21.0,29,21.5,29,22.4,13,36.6,20,33.8,11,37.6,19,40.6
IDCJAC0005,9215,1997,40.1,01,43.0,26,36.0,15,32.7,09,26.0,16,24.4,17,23.4,30,21.7,26,24.7,15,31.6,21,38.2,03,40.8,26,43.0
IDCJAC0005,9215,1998,41.5,07,41.0,28,39.2,06,34.1,02,29.7,08,24.1,07,18.7,25,26.2,26,23.7,07,32.5,31,36.7,11,38.6,14,41.5
IDCJAC0005,9215,1999,38.0,26,39.2,25,35.2,12,33.8,13,26.2,10,21.7,10,24.6,24,21.4,16,27.5,25,30.1,22,35.5,24,39.9,22,39.9
IDCJAC0005,9215,2000,38.2,05,40.2,08,38.7,08,30.5,09,27.3,09,26.2,12,20.4,16,21.5,23,25.2,26,32.1,28,35.3,15,40.0,27,40.2
IDCJAC0005,9215,2001,36.1,30,35.3,05,39.8,04,34.0,01,24.8,09,23.7,22,24.6,26,21.9,21,26.4,26,29.1,18,35.6,13,31.2,11,39.8
IDCJAC0005,9215,2002,37.9,14,38.8,06,36.9,08,30.1,13,31.0,01,23.6,28,23.5,17,24.2,24,27.4,29,28.6,04,38.3,14,39.9,19,39.9
IDCJAC0005,9215,2003,39.2,03,40.6,08,40.8,10,33.6,04,31.5,01,22.3,24,20.3,10,20.5,31,26.4,28,31.7,10,41.1,11,39.4,26,41.1
IDCJAC0005,9215,2004,41.0,11,41.4,17,42.1,22,32.0,03,30.3,06,24.5,21,21.6,29,20.5,10,24.5,03,30.0,27,36.4,22,39.4,14,42.1
IDCJAC0005,9215,2005,39.1,17,42.6,15,40.5,23,35.9,06,28.8,09,23.2,01,22.9,19,23.3,01,23.9,16,22.7,23,30.9,21,27.8,17,42.6
IDCJAC0005,9215,2006,36.0,23,39.3,21,38.8,05,30.5,21,29.1,12,23.8,14,22.8,07,23.1,28,28.9,29,32.0,28,35.5,26,36.7,27,39.3
IDCJAC0005,9215,2007,42.3,26,37.6,03,42.8,07,34.2,04,29.0,10,23.9,12,23.3,12,25.0,18,28.1,03,30.5,24,38.1,12,43.0,26,43.0
IDCJAC0005,9215,2008,40.4,17,40.7,28,33.6,27,31.7,14,26.6,09,23.6,03,20.6,27,22.9,27,23.2,23,34.0,19,26.8,17,38.8,30,40.7
IDCJAC0005,9215,2009,40.8,16,38.9,21,39.1,15,35.3,10,28.6,05,25.4,01,21.7,15,22.3,09,22.6,27,37.1,17,35.7,04,39.3,28,40.8
IDCJAC0005,9215,2010,42.9,17,42.2,25,39.8,12,31.8,18,27.9,20,24.3,13,21.0,25,23.4,03,29.8,29,29.1,08,39.5,19,39.3,27,42.9
IDCJAC0005,9215,2011,38.8,02,39.6,28,37.0,01,34.6,05,29.6,08,24.5,27,21.8,14,24.5,21,24.5,30,35.9,16,36.0,24,40.1,28,40.1
IDCJAC0005,9215,2012,43.1,26,40.2,10,39.4,11,33.8,10,27.4,02,24.7,03,24.4,30,24.6,10,29.2,16,35.2,01,35.8,21,40.6,31,43.1
IDCJAC0005,9215,2013,37.6,08,40.9,20,36.9,09,35.8,08,25.5,05,23.0,22,22.4,02,23.7,24,23.0,06,33.9,30,37.2,10,36.6,13,40.9
IDCJAC0005,9215,2014,44.3,11,39.3,20,38.0,12,35.6,11,24.0,11,25.5,05,22.9,01,26.2,06,34.2,20,32.6,15,34.6,09,38.8,19,44.3
IDCJAC0005,9215,2015,43.2,05,37.6,03,37.2,12,31.8,05,26.9,14,24.6,11,22.3,02,28.0,15,32.5,09,32.8,11,37.4,14,38.3,23,43.2
IDCJAC0005,9215,2016,39.8,07,42.8,08,40.7,14,32.3,16,23.4,12,23.1,03,22.0,02,21.2,26,20.3,04,33.4,12,37.5,14,42.0,21,42.8
IDCJAC0005,9215,2017,40.1,26,38.3,25,34.1,01,31.5,02,28.0,07,25.4,05,24.8,18,24.4,27,26.6,15,31.2,13,35.5,07,35.9,03,40.1
IDCJAC0005,9215,2018,38.7,14,34.1,15,37.7,13,33.2,16,30.4,12,23.5,17,23.3,10,25.7,20,25.9,22,29.5,09,31.9,09,39.0,22,39.0
IDCJAC0005,9215,2019,37.7,20,36.0,07,39.4,04,33.0,09,,,,,,,,,,,,,,,,,
