Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,10917,1998,12,7.0,20,Y
IDCJAC0008,10917,1999,01,7.0,11,Y
IDCJAC0008,10917,1999,02,9.0,16,Y
IDCJAC0008,10917,1999,03,6.0,29,Y
IDCJAC0008,10917,1999,04,2.0,24,Y
IDCJAC0008,10917,1999,05,1.0,23,Y
IDCJAC0008,10917,1999,06,-2.0,30,Y
IDCJAC0008,10917,1999,07,-2.0,09,Y
IDCJAC0008,10917,1999,08,-1.0,21,Y
IDCJAC0008,10917,1999,09,-1.0,16,Y
IDCJAC0008,10917,1999,10,0.0,25,Y
IDCJAC0008,10917,1999,11,1.0,08,Y
IDCJAC0008,10917,1999,12,5.0,02,Y
IDCJAC0008,10917,2000,01,9.0,18,Y
IDCJAC0008,10917,2000,02,8.0,23,Y
IDCJAC0008,10917,2000,03,6.0,29,Y
IDCJAC0008,10917,2000,04,2.0,29,Y
IDCJAC0008,10917,2000,05,-1.0,27,Y
IDCJAC0008,10917,2000,06,-2.0,07,Y
IDCJAC0008,10917,2000,07,0.0,27,Y
IDCJAC0008,10917,2000,08,-2.0,22,Y
IDCJAC0008,10917,2000,09,1.0,16,Y
IDCJAC0008,10917,2000,10,-1.0,09,Y
IDCJAC0008,10917,2000,11,3.0,03,Y
IDCJAC0008,10917,2000,12,3.0,22,Y
IDCJAC0008,10917,2001,01,6.0,26,Y
IDCJAC0008,10917,2001,02,5.0,02,Y
IDCJAC0008,10917,2001,03,1.0,24,Y
IDCJAC0008,10917,2001,04,1.0,28,Y
IDCJAC0008,10917,2001,05,2.0,22,Y
IDCJAC0008,10917,2001,06,-1.0,28,Y
IDCJAC0008,10917,2001,07,-2.9,18,Y
IDCJAC0008,10917,2001,08,-1.0,26,Y
IDCJAC0008,10917,2001,09,-1.0,11,Y
IDCJAC0008,10917,2001,10,-1.0,16,Y
IDCJAC0008,10917,2001,11,3.0,05,Y
IDCJAC0008,10917,2001,12,7.0,02,Y
IDCJAC0008,10917,2002,01,5.0,06,Y
IDCJAC0008,10917,2002,02,5.0,20,Y
IDCJAC0008,10917,2002,03,5.0,11,Y
IDCJAC0008,10917,2002,04,4.0,11,Y
IDCJAC0008,10917,2002,05,0.0,25,Y
IDCJAC0008,10917,2002,06,-1.0,10,Y
IDCJAC0008,10917,2002,07,-2.0,29,Y
IDCJAC0008,10917,2002,08,-2.0,12,Y
IDCJAC0008,10917,2002,09,-1.0,25,Y
IDCJAC0008,10917,2002,10,-2.0,02,Y
IDCJAC0008,10917,2002,11,3.0,13,Y
IDCJAC0008,10917,2002,12,2.0,02,Y
IDCJAC0008,10917,2003,01,6.2,20,Y
IDCJAC0008,10917,2003,02,4.5,03,Y
IDCJAC0008,10917,2003,03,5.1,19,Y
IDCJAC0008,10917,2003,04,1.5,28,Y
IDCJAC0008,10917,2003,05,0.9,19,Y
IDCJAC0008,10917,2003,06,-4.3,19,Y
IDCJAC0008,10917,2003,07,-1.0,15,Y
IDCJAC0008,10917,2003,08,-1.2,31,Y
IDCJAC0008,10917,2003,09,-0.7,01,Y
IDCJAC0008,10917,2003,10,-0.8,18,Y
IDCJAC0008,10917,2003,11,3.4,01,Y
IDCJAC0008,10917,2003,12,3.8,09,Y
IDCJAC0008,10917,2004,01,8.1,20,Y
IDCJAC0008,10917,2004,02,8.6,14,Y
IDCJAC0008,10917,2004,03,2.4,08,Y
IDCJAC0008,10917,2004,04,2.7,22,Y
IDCJAC0008,10917,2004,05,-1.4,27,Y
IDCJAC0008,10917,2004,06,-2.5,02,Y
IDCJAC0008,10917,2004,07,-2.9,26,Y
IDCJAC0008,10917,2004,08,-2.9,29,Y
IDCJAC0008,10917,2004,09,-3.4,11,Y
IDCJAC0008,10917,2004,10,0.0,02,Y
IDCJAC0008,10917,2004,11,-1.1,18,Y
IDCJAC0008,10917,2004,12,5.3,01,Y
IDCJAC0008,10917,2005,01,5.7,03,Y
IDCJAC0008,10917,2005,02,7.2,08,Y
IDCJAC0008,10917,2005,03,10.5,31,Y
IDCJAC0008,10917,2005,04,1.5,18,Y
IDCJAC0008,10917,2005,05,4.4,30,Y
IDCJAC0008,10917,2005,06,-0.7,28,Y
IDCJAC0008,10917,2005,07,-3.5,12,Y
IDCJAC0008,10917,2005,08,-1.1,19,Y
IDCJAC0008,10917,2005,09,-2.5,10,Y
IDCJAC0008,10917,2005,10,-0.7,13,Y
IDCJAC0008,10917,2005,11,0.3,02,Y
IDCJAC0008,10917,2005,12,3.1,21,Y
IDCJAC0008,10917,2006,01,4.3,01,Y
IDCJAC0008,10917,2006,02,6.9,01,Y
IDCJAC0008,10917,2006,03,2.5,26,Y
IDCJAC0008,10917,2006,04,1.0,17,Y
IDCJAC0008,10917,2006,05,-1.1,26,Y
IDCJAC0008,10917,2006,06,-5.2,16,Y
IDCJAC0008,10917,2006,07,-3.4,18,Y
IDCJAC0008,10917,2006,08,0.5,18,Y
IDCJAC0008,10917,2006,09,0.1,05,Y
IDCJAC0008,10917,2006,10,0.4,17,Y
IDCJAC0008,10917,2006,11,3.8,02,Y
IDCJAC0008,10917,2006,12,4.6,01,Y
IDCJAC0008,10917,2007,01,6.4,16,Y
IDCJAC0008,10917,2007,02,4.1,18,Y
IDCJAC0008,10917,2007,03,0.9,28,Y
IDCJAC0008,10917,2007,04,1.9,28,Y
IDCJAC0008,10917,2007,05,-0.9,21,Y
IDCJAC0008,10917,2007,06,0.2,11,Y
IDCJAC0008,10917,2007,07,-0.2,18,Y
IDCJAC0008,10917,2007,08,-0.8,13,Y
IDCJAC0008,10917,2007,09,0.9,23,Y
IDCJAC0008,10917,2007,10,-0.1,29,Y
IDCJAC0008,10917,2007,11,1.2,20,Y
IDCJAC0008,10917,2007,12,2.3,02,Y
IDCJAC0008,10917,2008,01,6.9,11,Y
IDCJAC0008,10917,2008,02,10.0,19,Y
IDCJAC0008,10917,2008,03,4.0,14,Y
IDCJAC0008,10917,2008,04,2.9,25,Y
IDCJAC0008,10917,2008,05,1.9,02,Y
IDCJAC0008,10917,2008,06,-1.5,20,Y
IDCJAC0008,10917,2008,07,-2.5,07,Y
IDCJAC0008,10917,2008,08,-2.8,15,Y
IDCJAC0008,10917,2008,09,-2.9,22,Y
IDCJAC0008,10917,2008,10,-0.4,03,Y
IDCJAC0008,10917,2008,11,1.5,01,Y
IDCJAC0008,10917,2008,12,5.0,10,Y
IDCJAC0008,10917,2009,01,7.2,13,Y
IDCJAC0008,10917,2009,02,5.2,26,Y
IDCJAC0008,10917,2009,03,2.5,03,Y
IDCJAC0008,10917,2009,04,2.4,23,Y
IDCJAC0008,10917,2009,05,-0.7,17,Y
IDCJAC0008,10917,2009,06,-1.9,22,Y
IDCJAC0008,10917,2009,07,-1.7,14,Y
IDCJAC0008,10917,2009,08,-0.8,29,Y
IDCJAC0008,10917,2009,09,-1.3,04,Y
IDCJAC0008,10917,2009,10,-0.2,01,Y
IDCJAC0008,10917,2009,11,3.1,27,Y
IDCJAC0008,10917,2009,12,5.1,08,Y
IDCJAC0008,10917,2010,01,8.1,12,Y
IDCJAC0008,10917,2010,02,7.4,03,Y
IDCJAC0008,10917,2010,03,5.6,17,Y
IDCJAC0008,10917,2010,04,0.6,25,Y
IDCJAC0008,10917,2010,05,0.4,06,Y
IDCJAC0008,10917,2010,06,-2.9,26,Y
IDCJAC0008,10917,2010,07,-2.8,07,Y
IDCJAC0008,10917,2010,08,-2.3,09,Y
IDCJAC0008,10917,2010,09,-1.8,14,Y
IDCJAC0008,10917,2010,10,-1.1,11,Y
IDCJAC0008,10917,2010,11,2.9,06,Y
IDCJAC0008,10917,2010,12,5.9,04,Y
IDCJAC0008,10917,2011,01,8.1,15,Y
IDCJAC0008,10917,2011,02,12.3,01,Y
IDCJAC0008,10917,2011,03,9.3,13,Y
IDCJAC0008,10917,2011,04,3.3,19,Y
IDCJAC0008,10917,2011,05,2.1,28,Y
IDCJAC0008,10917,2011,06,-0.1,05,Y
IDCJAC0008,10917,2011,07,-1.0,04,Y
IDCJAC0008,10917,2011,08,-0.7,05,Y
IDCJAC0008,10917,2011,09,0.4,28,Y
IDCJAC0008,10917,2011,10,1.5,20,Y
IDCJAC0008,10917,2011,11,4.0,19,Y
IDCJAC0008,10917,2011,12,7.4,01,Y
IDCJAC0008,10917,2012,01,8.5,08,Y
IDCJAC0008,10917,2012,02,6.5,05,Y
IDCJAC0008,10917,2012,03,4.5,31,Y
IDCJAC0008,10917,2012,04,3.0,23,Y
IDCJAC0008,10917,2012,05,-3.4,25,Y
IDCJAC0008,10917,2012,06,-0.6,23,Y
IDCJAC0008,10917,2012,07,-2.5,09,Y
IDCJAC0008,10917,2012,08,-1.4,09,Y
IDCJAC0008,10917,2012,09,-1.0,28,Y
IDCJAC0008,10917,2012,10,0.5,05,Y
IDCJAC0008,10917,2012,11,4.0,12,Y
IDCJAC0008,10917,2012,12,3.8,01,Y
IDCJAC0008,10917,2013,01,8.6,25,Y
IDCJAC0008,10917,2013,02,7.0,23,Y
IDCJAC0008,10917,2013,03,5.5,27,Y
IDCJAC0008,10917,2013,04,5.6,21,Y
IDCJAC0008,10917,2013,05,0.2,31,Y
IDCJAC0008,10917,2013,06,-0.3,01,Y
IDCJAC0008,10917,2013,07,-4.8,08,Y
IDCJAC0008,10917,2013,08,0.8,14,Y
IDCJAC0008,10917,2013,09,0.9,06,Y
IDCJAC0008,10917,2013,10,0.7,13,Y
IDCJAC0008,10917,2013,11,5.3,25,Y
IDCJAC0008,10917,2013,12,5.4,21,Y
IDCJAC0008,10917,2014,01,7.4,03,Y
IDCJAC0008,10917,2014,02,15.2,02,Y
IDCJAC0008,10917,2014,03,5.6,15,Y
IDCJAC0008,10917,2014,04,1.0,22,Y
IDCJAC0008,10917,2014,05,0.3,02,Y
IDCJAC0008,10917,2014,06,-2.4,28,Y
IDCJAC0008,10917,2014,07,-1.2,04,Y
IDCJAC0008,10917,2014,08,-2.1,01,Y
IDCJAC0008,10917,2014,09,0.1,01,Y
IDCJAC0008,10917,2014,10,1.2,07,Y
IDCJAC0008,10917,2014,11,0.8,14,Y
IDCJAC0008,10917,2014,12,5.6,16,Y
IDCJAC0008,10917,2015,01,8.6,03,Y
IDCJAC0008,10917,2015,02,7.2,15,Y
IDCJAC0008,10917,2015,03,5.2,24,Y
IDCJAC0008,10917,2015,04,1.9,22,Y
IDCJAC0008,10917,2015,05,-1.4,30,Y
IDCJAC0008,10917,2015,06,-1.7,23,Y
IDCJAC0008,10917,2015,07,-3.0,09,Y
IDCJAC0008,10917,2015,08,-1.6,09,Y
IDCJAC0008,10917,2015,09,-2.2,16,Y
IDCJAC0008,10917,2015,10,-2.0,06,Y
IDCJAC0008,10917,2015,11,3.8,19,Y
IDCJAC0008,10917,2015,12,5.8,08,Y
IDCJAC0008,10917,2016,01,11.4,13,Y
IDCJAC0008,10917,2016,02,5.8,02,Y
IDCJAC0008,10917,2016,03,9.1,29,Y
