Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,40093,1870,01,64.5,Y
IDCJAC0001,40093,1870,02,96.0,Y
IDCJAC0001,40093,1870,03,676.7,Y
IDCJAC0001,40093,1870,04,189.5,Y
IDCJAC0001,40093,1870,05,174.5,Y
IDCJAC0001,40093,1870,06,66.0,Y
IDCJAC0001,40093,1870,07,272.5,Y
IDCJAC0001,40093,1870,08,82.8,Y
IDCJAC0001,40093,1870,09,41.4,Y
IDCJAC0001,40093,1870,10,77.7,Y
IDCJAC0001,40093,1870,11,132.6,Y
IDCJAC0001,40093,1870,12,120.7,Y
IDCJAC0001,40093,1871,01,186.7,Y
IDCJAC0001,40093,1871,02,56.4,Y
IDCJAC0001,40093,1871,03,99.3,Y
IDCJAC0001,40093,1871,04,6.4,Y
IDCJAC0001,40093,1871,05,8.6,Y
IDCJAC0001,40093,1871,06,10.2,Y
IDCJAC0001,40093,1871,07,17.5,Y
IDCJAC0001,40093,1871,08,0.5,Y
IDCJAC0001,40093,1871,09,27.4,Y
IDCJAC0001,40093,1871,10,60.2,Y
IDCJAC0001,40093,1871,11,60.2,Y
IDCJAC0001,40093,1871,12,62.5,Y
IDCJAC0001,40093,1872,01,294.9,Y
IDCJAC0001,40093,1872,02,157.5,Y
IDCJAC0001,40093,1872,03,192.5,Y
IDCJAC0001,40093,1872,04,27.9,Y
IDCJAC0001,40093,1872,05,17.8,Y
IDCJAC0001,40093,1872,06,41.1,Y
IDCJAC0001,40093,1872,07,45.7,Y
IDCJAC0001,40093,1872,08,13.7,Y
IDCJAC0001,40093,1872,09,18.0,Y
IDCJAC0001,40093,1872,10,64.3,Y
IDCJAC0001,40093,1872,11,128.8,Y
IDCJAC0001,40093,1872,12,127.3,Y
IDCJAC0001,40093,1873,01,130.3,Y
IDCJAC0001,40093,1873,02,101.6,Y
IDCJAC0001,40093,1873,03,237.0,Y
IDCJAC0001,40093,1873,04,31.5,Y
IDCJAC0001,40093,1873,05,23.9,Y
