Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,70349,2004,06,1.6,30,Y
IDCJAC0005,70349,2004,07,6.6,21,Y
IDCJAC0005,70349,2004,08,11.4,28,Y
IDCJAC0005,70349,2004,09,16.9,21,Y
IDCJAC0005,70349,2004,10,20.3,12,Y
IDCJAC0005,70349,2004,11,25.9,30,Y
IDCJAC0005,70349,2004,12,23.3,19,Y
IDCJAC0005,70349,2005,01,26.6,15,Y
IDCJAC0005,70349,2005,02,25.2,01,Y
IDCJAC0005,70349,2005,03,24.0,01,Y
IDCJAC0005,70349,2005,04,19.5,09,Y
IDCJAC0005,70349,2005,05,15.0,04,Y
IDCJAC0005,70349,2005,06,11.0,08,Y
IDCJAC0005,70349,2005,07,7.0,20,Y
IDCJAC0005,70349,2005,08,16.0,28,Y
IDCJAC0005,70349,2005,09,17.0,08,Y
IDCJAC0005,70349,2005,10,17.0,05,Y
IDCJAC0005,70349,2005,11,21.0,09,Y
IDCJAC0005,70349,2005,12,29.0,31,Y
IDCJAC0005,70349,2006,01,30.0,01,Y
IDCJAC0005,70349,2006,02,27.0,02,Y
IDCJAC0005,70349,2006,03,24.0,12,Y
IDCJAC0005,70349,2006,04,15.0,11,Y
IDCJAC0005,70349,2006,05,13.0,16,Y
IDCJAC0005,70349,2006,06,8.0,20,Y
IDCJAC0005,70349,2006,07,7.0,27,Y
IDCJAC0005,70349,2006,08,13.0,31,Y
IDCJAC0005,70349,2006,09,16.0,19,Y
IDCJAC0005,70349,2006,10,20.0,12,Y
IDCJAC0005,70349,2006,11,25.0,25,Y
IDCJAC0005,70349,2006,12,25.0,11,Y
IDCJAC0005,70349,2007,01,27.0,17,Y
IDCJAC0005,70349,2007,02,26.0,04,Y
IDCJAC0005,70349,2007,03,25.0,03,Y
IDCJAC0005,70349,2007,04,17.0,12,Y
IDCJAC0005,70349,2007,05,16.0,12,Y
IDCJAC0005,70349,2007,06,8.0,24,Y
IDCJAC0005,70349,2007,07,7.0,30,Y
IDCJAC0005,70349,2007,08,13.0,27,Y
IDCJAC0005,70349,2007,09,15.0,26,Y
IDCJAC0005,70349,2007,10,21.0,21,Y
IDCJAC0005,70349,2007,11,24.9,20,Y
IDCJAC0005,70349,2007,12,25.8,30,Y
IDCJAC0005,70349,2008,01,26.0,02,Y
IDCJAC0005,70349,2008,02,21.0,03,Y
IDCJAC0005,70349,2008,03,25.3,15,Y
IDCJAC0005,70349,2008,04,15.0,12,Y
IDCJAC0005,70349,2008,05,14.0,09,Y
IDCJAC0005,70349,2008,06,10.7,17,Y
IDCJAC0005,70349,2008,07,6.0,14,Y
IDCJAC0005,70349,2008,08,7.0,24,Y
IDCJAC0005,70349,2008,09,16.0,27,Y
IDCJAC0005,70349,2008,10,20.0,28,Y
