Product code,Station number,Year,Month,Lowest temperature (°C),Day,Quality
IDCJAC0008,23013,1948,02,10.8,29,Y
IDCJAC0008,23013,1948,03,9.3,15,Y
IDCJAC0008,23013,1948,04,7.0,14,Y
IDCJAC0008,23013,1948,05,5.7,21,Y
IDCJAC0008,23013,1948,06,3.4,15,Y
IDCJAC0008,23013,1948,07,0.8,14,Y
IDCJAC0008,23013,1948,08,2.8,12,Y
IDCJAC0008,23013,1948,09,3.9,13,Y
IDCJAC0008,23013,1948,10,4.9,06,Y
IDCJAC0008,23013,1948,11,5.5,10,Y
IDCJAC0008,23013,1948,12,7.7,14,Y
IDCJAC0008,23013,1949,01,8.7,06,Y
IDCJAC0008,23013,1949,02,9.7,13,Y
IDCJAC0008,23013,1949,03,8.4,31,Y
IDCJAC0008,23013,1949,04,5.8,26,Y
IDCJAC0008,23013,1949,05,5.2,09,Y
IDCJAC0008,23013,1949,06,1.6,17,Y
IDCJAC0008,23013,1949,07,3.0,25,Y
IDCJAC0008,23013,1949,08,0.8,23,Y
IDCJAC0008,23013,1949,09,2.4,27,Y
IDCJAC0008,23013,1949,10,6.1,05,Y
IDCJAC0008,23013,1949,11,5.6,03,Y
IDCJAC0008,23013,1949,12,8.9,10,Y
IDCJAC0008,23013,1950,01,9.1,21,Y
IDCJAC0008,23013,1950,02,10.7,28,Y
IDCJAC0008,23013,1950,03,9.9,07,Y
IDCJAC0008,23013,1950,04,9.4,12,Y
IDCJAC0008,23013,1950,05,5.6,09,Y
IDCJAC0008,23013,1950,06,2.2,16,Y
IDCJAC0008,23013,1950,07,4.4,25,Y
IDCJAC0008,23013,1950,08,3.6,08,Y
IDCJAC0008,23013,1950,09,3.9,09,Y
IDCJAC0008,23013,1950,10,5.1,18,Y
IDCJAC0008,23013,1950,11,7.8,21,Y
IDCJAC0008,23013,1950,12,9.6,21,Y
IDCJAC0008,23013,1951,01,13.9,08,Y
IDCJAC0008,23013,1951,02,12.8,18,Y
IDCJAC0008,23013,1951,03,9.7,28,Y
IDCJAC0008,23013,1951,04,7.5,11,Y
IDCJAC0008,23013,1951,05,7.8,31,Y
IDCJAC0008,23013,1951,06,3.3,16,Y
IDCJAC0008,23013,1951,07,1.8,20,Y
IDCJAC0008,23013,1951,08,2.4,22,Y
IDCJAC0008,23013,1951,09,3.0,06,Y
IDCJAC0008,23013,1951,10,4.0,04,Y
IDCJAC0008,23013,1951,11,7.5,17,Y
IDCJAC0008,23013,1951,12,9.5,11,Y
IDCJAC0008,23013,1952,01,11.8,10,Y
IDCJAC0008,23013,1952,02,10.4,28,Y
IDCJAC0008,23013,1952,03,10.5,13,Y
IDCJAC0008,23013,1952,04,6.6,20,Y
IDCJAC0008,23013,1952,05,5.3,27,Y
IDCJAC0008,23013,1952,06,2.8,15,Y
IDCJAC0008,23013,1952,07,0.1,14,Y
IDCJAC0008,23013,1952,08,1.2,27,Y
IDCJAC0008,23013,1952,09,1.2,12,Y
IDCJAC0008,23013,1952,10,4.6,03,Y
IDCJAC0008,23013,1952,11,6.7,21,Y
IDCJAC0008,23013,1952,12,6.7,11,Y
IDCJAC0008,23013,1953,01,10.4,07,Y
IDCJAC0008,23013,1953,02,11.2,10,Y
IDCJAC0008,23013,1953,03,9.3,27,Y
IDCJAC0008,23013,1953,04,8.3,30,Y
IDCJAC0008,23013,1953,05,3.9,21,Y
IDCJAC0008,23013,1953,06,4.4,06,Y
IDCJAC0008,23013,1953,07,2.4,10,Y
IDCJAC0008,23013,1953,08,2.4,28,Y
IDCJAC0008,23013,1953,09,3.4,10,Y
IDCJAC0008,23013,1953,10,3.3,02,Y
IDCJAC0008,23013,1953,11,5.9,02,Y
IDCJAC0008,23013,1953,12,8.7,16,Y
IDCJAC0008,23013,1954,01,10.7,03,Y
IDCJAC0008,23013,1954,02,8.4,04,Y
IDCJAC0008,23013,1954,03,7.7,06,Y
IDCJAC0008,23013,1954,04,8.7,08,Y
IDCJAC0008,23013,1954,05,5.5,23,Y
IDCJAC0008,23013,1954,06,2.9,04,Y
IDCJAC0008,23013,1954,07,3.0,01,Y
IDCJAC0008,23013,1954,08,1.9,15,Y
IDCJAC0008,23013,1954,09,1.3,06,Y
IDCJAC0008,23013,1954,10,4.6,28,Y
IDCJAC0008,23013,1954,11,7.0,13,Y
IDCJAC0008,23013,1954,12,8.8,05,Y
IDCJAC0008,23013,1955,01,12.0,12,Y
IDCJAC0008,23013,1955,02,14.4,02,Y
IDCJAC0008,23013,1972,12,6.5,08,Y
IDCJAC0008,23013,1973,01,9.2,08,Y
IDCJAC0008,23013,1973,02,11.0,07,Y
IDCJAC0008,23013,1973,03,8.5,14,Y
IDCJAC0008,23013,1973,04,5.7,23,Y
IDCJAC0008,23013,1973,05,-1.4,19,Y
IDCJAC0008,23013,1973,06,0.0,16,Y
IDCJAC0008,23013,1973,07,1.5,05,Y
IDCJAC0008,23013,1973,08,1.2,11,Y
IDCJAC0008,23013,1973,09,1.5,20,Y
IDCJAC0008,23013,1973,10,2.5,04,Y
IDCJAC0008,23013,1973,11,4.6,05,Y
IDCJAC0008,23013,1973,12,8.8,17,Y
IDCJAC0008,23013,1974,01,9.9,05,Y
IDCJAC0008,23013,1974,02,9.7,06,Y
IDCJAC0008,23013,1974,03,10.5,16,Y
IDCJAC0008,23013,1974,04,8.6,14,Y
IDCJAC0008,23013,1974,05,1.3,25,Y
IDCJAC0008,23013,1974,06,-0.7,15,Y
IDCJAC0008,23013,1974,07,1.1,03,Y
IDCJAC0008,23013,1974,08,2.0,22,Y
IDCJAC0008,23013,1974,09,1.8,22,Y
IDCJAC0008,23013,1974,10,3.8,20,Y
IDCJAC0008,23013,1974,11,3.8,14,Y
IDCJAC0008,23013,1974,12,7.5,04,Y
IDCJAC0008,23013,1975,01,7.7,13,Y
IDCJAC0008,23013,1975,02,10.7,14,Y
IDCJAC0008,23013,1975,03,8.7,04,Y
IDCJAC0008,23013,1975,04,4.7,26,Y
