Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0008,72162,1997,14.0,31,10.0,26,-2.0,01,6.0,08,-1.0,31,-2.0,01,-3.0,30,-5.0,03,-7.0,15,0.0,19,3.0,18,6.0,23,-7.0
IDCJAC0008,72162,1998,8.0,30,3.0,17,4.0,31,1.0,14,-2.0,10,-4.0,19,-3.0,17,-1.0,28,0.0,06,0.0,08,0.0,02,5.0,06,-4.0
IDCJAC0008,72162,1999,11.0,22,4.0,19,2.0,29,-1.0,25,-4.0,16,-3.0,29,-4.0,26,-4.0,02,-1.0,11,2.0,20,1.0,11,3.0,20,-4.0
IDCJAC0008,72162,2000,4.0,24,7.0,14,7.0,26,0.0,23,-1.0,24,-3.0,03,-2.0,03,-2.0,18,0.0,04,1.0,16,3.0,08,4.0,28,-3.0
IDCJAC0008,72162,2001,8.0,09,9.0,16,5.0,29,1.0,13,-1.0,31,-3.0,20,-3.0,05,-2.0,24,1.0,06,1.0,20,2.0,12,3.0,27,-3.0
IDCJAC0008,72162,2002,5.0,13,7.0,22,6.0,31,2.0,28,-2.0,31,-2.0,19,-3.0,12,-3.0,15,-2.0,11,1.0,09,1.0,05,3.0,07,-3.0
IDCJAC0008,72162,2003,8.0,09,10.0,01,5.0,21,3.0,17,-1.0,31,-1.0,26,-3.0,19,-3.3,10,-1.9,28,-0.6,12,1.1,03,7.0,06,-3.3
IDCJAC0008,72162,2004,5.0,09,8.4,26,5.5,01,2.4,20,-0.9,11,-2.5,06,-3.2,20,-0.9,16,-0.1,02,0.7,16,2.7,04,5.1,30,-3.2
IDCJAC0008,72162,2005,4.9,07,7.6,13,2.3,06,0.2,30,-1.8,31,-3.4,02,-2.8,23,-1.2,23,-0.3,01,1.9,12,3.4,16,5.0,19,-3.4
IDCJAC0008,72162,2006,9.3,03,5.2,10,6.6,17,-1.4,22,-0.9,28,-4.2,12,-3.3,14,-3.2,08,-3.2,26,-1.0,09,0.6,16,2.2,26,-4.2
IDCJAC0008,72162,2007,6.2,28,12.2,01,5.7,25,3.3,07,1.6,27,-4.1,24,-2.6,23,-1.5,14,-2.0,05,-1.3,08,3.0,06,7.3,11,-4.1
IDCJAC0008,72162,2008,10.6,22,3.4,29,2.7,01,0.9,30,-0.1,23,-1.3,07,-2.8,24,-2.8,17,-2.5,09,-0.5,23,3.9,23,4.1,20,-2.8
IDCJAC0008,72162,2009,4.9,17,7.0,14,3.8,06,1.5,30,-1.2,31,-3.4,11,-3.5,08,-2.6,08,-0.1,15,-0.3,09,5.5,05,4.6,01,-3.5
IDCJAC0008,72162,2010,4.0,19,10.1,24,6.8,12,2.2,26,-1.0,23,-4.0,14,-2.9,21,-2.5,08,-1.7,30,0.5,01,3.9,06,5.7,28,-4.0
IDCJAC0008,72162,2011,10.4,04,6.0,07,6.5,06,2.6,24,-2.1,10,-2.5,29,-3.8,29,-1.1,13,-1.6,12,0.9,17,5.7,24,2.4,05,-3.8
IDCJAC0008,72162,2012,4.3,12,8.1,11,5.2,25,0.3,11,-0.8,30,-2.9,20,-3.4,06,-2.9,02,-1.6,01,-0.3,23,1.9,02,2.8,06,-3.4
IDCJAC0008,72162,2013,6.0,14,6.9,03,3.8,18,1.9,25,-1.5,25,-3.1,22,-1.8,26,0.6,09,-1.7,13,-1.2,18,1.7,05,4.0,07,-3.1
IDCJAC0008,72162,2014,5.3,07,4.6,21,5.6,17,2.3,21,-1.3,08,-1.2,11,-2.9,20,-3.5,04,-1.6,04,1.3,02,0.6,02,7.7,31,-3.5
IDCJAC0008,72162,2015,6.8,31,8.3,03,3.1,28,1.8,28,-2.1,24,-2.9,22,-3.5,03,-2.8,04,-1.6,24,1.8,28,1.4,27,5.3,12,-3.5
IDCJAC0008,72162,2016,6.3,16,7.8,17,6.6,20,2.8,09,-0.4,31,-3.3,16,-0.4,24,-0.9,05,3.3,17,0.6,13,4.2,15,6.6,10,-3.3
IDCJAC0008,72162,2017,9.0,21,5.3,21,3.4,31,0.4,27,-1.1,31,-2.2,01,-4.6,02,-3.1,28,-2.4,17,1.3,01,2.2,08,7.6,09,-4.6
IDCJAC0008,72162,2018,7.0,17,6.5,01,4.7,19,1.9,30,-0.1,17,-3.1,26,-3.9,23,-3.7,29,-1.8,17,1.5,01,2.4,09,5.0,03,-3.9
IDCJAC0008,72162,2019,9.7,10,4.9,14,4.6,27,0.1,27,,,,,,,,,,,,,,,,,
