Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,9106,1961,null,null,null,91.4,53.0,180.6,206.8,153.9,67.7,20.9,6.4,30.9,null
IDCJAC0001,9106,1962,3.0,6.9,3.5,11.2,171.8,197.8,160.0,91.1,71.9,51.1,37.0,12.2,817.5
IDCJAC0001,9106,1963,15.4,15.0,8.6,56.3,254.2,250.3,183.0,221.4,89.9,41.7,6.7,0.0,1142.5
IDCJAC0001,9106,1964,0.0,10.2,7.6,47.1,17.3,300.8,258.8,171.2,85.5,73.6,7.1,28.4,1007.6
IDCJAC0001,9106,1965,2.0,3.6,10.5,15.3,172.9,252.3,195.8,221.8,75.9,149.4,64.5,20.0,1184.0
IDCJAC0001,9106,1966,8.5,1.3,9.4,31.8,47.1,195.9,226.8,107.5,118.1,47.0,12.5,18.6,824.5
IDCJAC0001,9106,1967,6.9,9.7,11.7,78.3,223.0,340.8,193.5,118.1,27.0,38.2,20.6,40.2,1108.0
IDCJAC0001,9106,1968,24.5,23.4,51.8,81.7,71.5,281.8,134.1,105.1,137.8,62.8,6.9,0.0,981.4
IDCJAC0001,9106,1969,4.7,0.0,19.4,57.1,75.7,215.8,88.8,75.3,4.1,0.0,13.7,3.8,558.4
IDCJAC0001,9106,1970,3.6,42.1,2.5,68.9,143.1,266.6,175.2,92.8,78.6,51.9,14.9,2.3,942.5
IDCJAC0001,9106,1971,7.8,18.5,null,18.5,53.2,100.8,86.8,103.0,null,104.3,26.7,null,null
IDCJAC0001,9106,1972,null,null,6.3,22.6,48.9,128.8,174.5,174.4,66.1,52.4,2.0,0.0,null
IDCJAC0001,9106,1973,29.2,0.8,0.0,67.0,112.7,187.7,193.7,111.5,161.3,55.6,19.3,0.0,938.8
IDCJAC0001,9106,1974,0.0,10.2,1.0,59.6,208.9,55.3,280.6,128.2,26.3,81.0,33.0,0.0,884.1
IDCJAC0001,9106,1975,null,null,26.4,29.8,85.4,114.8,200.6,89.0,63.2,35.8,10.6,1.2,null
IDCJAC0001,9106,1976,35.3,29.8,2.6,106.0,123.6,84.8,94.8,184.5,98.8,46.3,63.3,10.4,880.2
IDCJAC0001,9106,1977,1.6,21.6,12.8,8.5,98.2,66.8,82.4,192.4,68.0,81.7,5.0,0.0,639.0
IDCJAC0001,9106,1978,0.0,32.4,2.2,23.8,147.3,242.5,232.3,31.4,99.0,62.0,12.4,6.4,891.7
IDCJAC0001,9106,1979,0.0,0.0,22.8,66.0,76.6,156.8,86.5,90.2,60.6,21.4,42.6,4.2,627.7
IDCJAC0001,9106,1980,0.0,17.6,2.2,64.2,97.6,168.1,159.5,130.3,57.8,42.1,14.2,27.8,781.4
IDCJAC0001,9106,1981,0.0,10.8,5.8,27.8,177.8,176.8,155.2,129.6,73.8,43.6,33.4,12.8,847.4
IDCJAC0001,9106,1982,81.4,7.8,16.8,0.0,59.2,190.3,196.0,85.0,83.4,63.6,5.4,7.6,796.5
IDCJAC0001,9106,1983,0.4,35.1,3.4,4.6,36.8,276.8,134.4,159.6,108.4,16.6,34.6,26.6,837.3
IDCJAC0001,9106,1984,0.0,3.8,23.0,62.2,196.0,136.6,83.1,142.4,113.4,34.6,87.2,12.4,894.7
IDCJAC0001,9106,1985,0.0,3.8,2.0,36.0,74.2,81.2,184.6,141.6,56.4,18.0,39.2,1.8,638.8
IDCJAC0001,9106,1986,0.0,56.4,12.8,2.6,117.9,210.2,178.4,131.4,57.6,36.0,13.6,0.0,816.9
IDCJAC0001,9106,1987,0.0,0.0,15.0,87.0,77.8,183.6,214.4,77.5,46.0,36.0,29.4,58.2,824.9
IDCJAC0001,9106,1988,0.0,0.0,11.2,61.6,158.9,235.2,147.4,115.6,96.2,57.7,37.2,2.5,923.5
IDCJAC0001,9106,1989,18.4,31.6,4.0,54.6,97.2,75.8,186.8,82.6,74.8,110.3,4.9,10.0,751.0
IDCJAC0001,9106,1990,40.3,37.8,93.0,95.4,45.8,86.8,180.2,104.5,66.2,55.0,14.2,1.5,820.7
IDCJAC0001,9106,1991,3.2,13.8,2.6,48.8,126.7,273.1,164.9,85.6,85.6,21.5,65.2,27.8,918.8
IDCJAC0001,9106,1992,7.0,129.2,25.3,26.0,117.3,250.1,128.4,205.4,66.9,22.2,93.4,7.3,1078.5
IDCJAC0001,9106,1993,1.6,34.0,6.2,10.4,96.9,113.9,152.8,139.1,102.6,31.6,44.2,5.4,738.7
IDCJAC0001,9106,1994,0.6,0.8,1.7,3.5,113.0,179.0,162.5,109.4,58.9,14.1,7.0,0.0,650.5
IDCJAC0001,9106,1995,0.0,14.8,8.2,8.6,140.5,125.6,258.0,61.9,80.8,91.1,45.4,4.6,839.5
IDCJAC0001,9106,1996,5.0,0.0,4.8,30.4,66.4,294.5,193.0,139.0,119.2,55.0,51.4,22.4,981.1
IDCJAC0001,9106,1997,1.0,4.8,36.4,22.0,78.9,139.6,85.2,153.6,74.8,38.0,12.2,0.0,646.5
IDCJAC0001,9106,1998,2.2,0.0,46.4,11.6,60.4,152.6,95.5,146.8,90.8,22.4,31.6,16.6,676.9
IDCJAC0001,9106,1999,37.2,0.0,21.8,15.6,null,158.5,147.0,151.5,102.4,76.2,12.6,14.8,null
IDCJAC0001,9106,2000,141.6,0.0,16.8,81.8,null,null,286.2,145.4,56.8,5.4,22.0,1.0,null
IDCJAC0001,9106,2001,0.0,1.0,7.0,5.6,117.5,null,201.0,142.0,116.8,39.6,24.4,6.4,null
IDCJAC0001,9106,2002,6.2,0.2,9.0,78.6,73.0,209.6,158.2,86.2,69.0,52.6,22.4,2.4,767.4
IDCJAC0001,9106,2003,1.4,9.2,46.2,72.4,85.2,152.6,null,148.9,126.5,21.2,63.8,2.4,null
IDCJAC0001,9106,2004,0.0,6.8,0.2,14.4,107.8,156.5,113.6,191.2,44.2,32.6,44.4,3.0,714.7
IDCJAC0001,9106,2005,1.0,1.2,53.1,29.8,199.1,262.6,70.3,118.1,114.2,60.6,21.2,11.5,942.7
IDCJAC0001,9106,2006,27.0,34.6,9.4,32.5,29.2,42.0,86.8,160.0,63.4,35.9,23.3,9.0,553.1
IDCJAC0001,9106,2007,18.3,17.7,11.6,79.3,89.6,90.4,192.1,126.4,109.1,59.8,3.7,18.8,816.8
IDCJAC0001,9106,2008,0.0,31.6,12.9,170.8,103.9,142.5,195.0,21.5,85.2,47.8,59.0,14.2,884.4
IDCJAC0001,9106,2009,2.2,13.0,4.3,5.2,40.0,160.7,183.6,162.3,118.0,9.7,46.8,0.0,745.8
IDCJAC0001,9106,2010,4.0,0.1,53.2,33.8,93.3,60.5,140.7,50.0,24.8,20.6,7.6,11.0,499.6
IDCJAC0001,9106,2011,29.6,0.2,19.0,27.8,58.8,179.0,137.0,125.7,114.9,48.4,44.8,55.4,840.6
IDCJAC0001,9106,2012,14.8,14.4,0.0,72.3,33.6,128.3,35.6,99.7,119.3,16.8,79.8,25.4,640.0
IDCJAC0001,9106,2013,7.5,1.2,75.6,21.3,141.3,33.2,null,156.1,155.7,32.1,10.4,2.4,null
IDCJAC0001,9106,2014,0.0,0.1,6.3,25.1,130.8,122.2,173.0,104.8,78.6,39.4,null,0.1,null
IDCJAC0001,9106,2015,8.8,0.0,21.6,40.3,100.0,88.6,83.7,123.9,51.4,35.6,49.1,15.4,618.4
IDCJAC0001,9106,2016,4.4,2.4,24.8,58.0,126.2,71.4,158.5,144.9,72.8,50.2,null,10.7,null
IDCJAC0001,9106,2017,0.3,103.6,19.1,0.0,68.6,55.1,211.6,143.5,64.0,33.7,0.3,30.9,730.7
IDCJAC0001,9106,2018,0.4,0.0,4.6,15.2,62.4,125.7,118.5,85.9,18.8,36.5,2.0,0.4,470.4
IDCJAC0001,9106,2019,4.6,0.0,1.4,16.8,null,null,null,null,null,null,null,null,null
