Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0001,74148,1967,9.9,1.5,3.0,0.8,30.8,37.9,6.0,28.3,16.6,35.7,1.5,0.0,172.0
IDCJAC0001,74148,1968,58.2,0.8,25.4,40.1,92.6,27.7,44.9,26.4,8.7,25.1,21.4,70.4,441.7
IDCJAC0001,74148,1969,19.8,90.2,82.0,61.0,66.4,57.3,60.1,17.9,40.1,15.3,46.8,13.6,570.5
IDCJAC0001,74148,1970,37.7,42.9,45.7,101.7,21.4,27.2,17.0,83.4,92.6,30.8,40.1,43.8,584.3
IDCJAC0001,74148,1971,40.1,117.9,5.1,41.6,19.1,14.8,57.6,35.3,12.8,9.6,184.1,81.3,619.3
IDCJAC0001,74148,1972,34.7,43.5,17.3,53.1,19.3,10.4,20.8,79.0,15.3,34.4,18.4,4.5,350.7
IDCJAC0001,74148,1973,35.6,74.7,28.0,77.5,19.8,76.0,34.4,73.1,20.5,90.1,60.6,35.3,625.6
IDCJAC0001,74148,1974,156.0,58.4,41.4,170.5,31.2,10.9,51.6,50.6,47.4,133.1,22.7,2.0,775.8
IDCJAC0001,74148,1975,24.6,28.6,35.0,15.8,22.4,19.1,39.2,42.3,36.8,100.0,8.0,46.2,418.0
IDCJAC0001,74148,1976,40.0,49.6,20.4,11.4,5.4,10.4,7.2,13.2,45.6,92.0,32.4,16.8,344.4
IDCJAC0001,74148,1977,15.0,48.2,39.2,9.0,61.7,34.0,7.4,3.4,15.7,8.2,7.4,5.8,255.0
IDCJAC0001,74148,1978,52.4,0.0,33.3,23.6,151.8,59.3,32.7,25.8,99.2,31.4,31.4,68.4,609.3
IDCJAC0001,74148,1979,13.8,3.2,20.1,41.4,37.2,38.6,7.0,39.8,36.4,66.6,7.2,0.0,311.3
IDCJAC0001,74148,1980,15.8,2.0,27.8,44.3,35.2,24.4,30.6,45.3,10.5,25.0,5.3,70.2,336.4
IDCJAC0001,74148,1981,12.8,96.0,13.0,4.2,35.5,53.3,82.7,33.4,29.2,10.7,15.6,15.4,401.8
IDCJAC0001,74148,1982,25.2,10.8,69.0,22.9,24.0,19.8,2.2,1.0,26.3,6.2,0.4,4.4,212.2
IDCJAC0001,74148,1983,3.9,8.0,55.0,78.8,108.7,29.2,55.8,78.2,32.8,38.4,21.2,45.2,555.2
IDCJAC0001,74148,1984,115.0,24.8,11.4,59.4,10.0,2.2,70.4,44.8,27.2,43.4,12.0,5.0,425.6
IDCJAC0001,74148,1985,3.0,0.0,22.4,36.6,46.8,11.4,12.0,57.6,41.6,79.5,55.8,67.0,433.7
IDCJAC0001,74148,1986,29.6,2.0,4.0,11.3,49.0,13.8,58.0,37.6,64.4,73.8,32.6,42.0,418.1
IDCJAC0001,74148,1987,2.0,27.2,10.8,25.6,22.4,89.8,31.7,31.4,18.0,27.4,12.0,31.2,329.5
IDCJAC0001,74148,1988,18.0,3.8,16.6,17.2,112.2,49.4,59.6,22.0,35.0,11.0,50.0,85.2,480.0
IDCJAC0001,74148,1989,15.2,0.4,155.2,67.4,58.2,48.6,33.2,66.0,18.6,42.0,19.0,11.2,535.0
IDCJAC0001,74148,1990,32.2,38.4,4.2,93.4,53.0,26.0,63.8,60.6,40.4,30.2,4.4,5.6,452.2
