Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,79101,2007,12,17.8,N
IDCJAC0001,79101,2008,01,24.4,N
IDCJAC0001,79101,2008,02,19.2,N
IDCJAC0001,79101,2008,03,42.4,N
IDCJAC0001,79101,2008,04,19.2,N
IDCJAC0001,79101,2008,05,65.4,N
IDCJAC0001,79101,2008,06,55.2,N
IDCJAC0001,79101,2008,07,102.4,N
IDCJAC0001,79101,2008,08,85.2,N
IDCJAC0001,79101,2008,09,30.2,N
IDCJAC0001,79101,2008,10,16.2,N
IDCJAC0001,79101,2008,11,50.8,N
IDCJAC0001,79101,2008,12,97.4,N
IDCJAC0001,79101,2009,01,1.2,N
IDCJAC0001,79101,2009,02,4.0,N
IDCJAC0001,79101,2009,03,45.2,N
IDCJAC0001,79101,2009,04,48.8,N
IDCJAC0001,79101,2009,05,46.2,N
IDCJAC0001,79101,2009,06,87.8,N
IDCJAC0001,79101,2009,07,97.8,N
IDCJAC0001,79101,2009,08,88.8,N
IDCJAC0001,79101,2009,09,128.0,N
IDCJAC0001,79101,2009,10,34.8,N
IDCJAC0001,79101,2009,11,105.4,N
IDCJAC0001,79101,2009,12,24.6,N
IDCJAC0001,79101,2010,01,32.2,N
IDCJAC0001,79101,2010,02,51.4,N
IDCJAC0001,79101,2010,03,54.8,N
IDCJAC0001,79101,2010,04,70.4,N
IDCJAC0001,79101,2010,05,57.6,N
IDCJAC0001,79101,2010,06,69.0,N
IDCJAC0001,79101,2010,07,68.2,N
IDCJAC0001,79101,2010,08,192.2,N
IDCJAC0001,79101,2010,09,111.0,N
IDCJAC0001,79101,2010,10,109.6,N
IDCJAC0001,79101,2010,11,107.2,N
IDCJAC0001,79101,2010,12,109.8,N
IDCJAC0001,79101,2011,01,170.2,N
IDCJAC0001,79101,2011,02,106.6,N
IDCJAC0001,79101,2011,03,52.0,N
IDCJAC0001,79101,2011,04,66.6,N
IDCJAC0001,79101,2011,05,80.4,N
IDCJAC0001,79101,2011,06,45.8,N
IDCJAC0001,79101,2011,07,83.4,N
IDCJAC0001,79101,2011,08,89.4,N
IDCJAC0001,79101,2011,09,30.8,N
IDCJAC0001,79101,2011,10,57.2,N
IDCJAC0001,79101,2011,11,72.6,N
IDCJAC0001,79101,2011,12,76.4,N
IDCJAC0001,79101,2012,01,35.8,N
IDCJAC0001,79101,2012,02,51.4,N
IDCJAC0001,79101,2012,03,86.8,N
IDCJAC0001,79101,2012,04,30.8,N
IDCJAC0001,79101,2012,05,67.0,N
IDCJAC0001,79101,2012,06,102.0,N
IDCJAC0001,79101,2012,07,94.4,N
IDCJAC0001,79101,2012,08,69.8,N
IDCJAC0001,79101,2012,09,56.0,N
IDCJAC0001,79101,2012,10,31.2,N
IDCJAC0001,79101,2012,11,23.2,N
IDCJAC0001,79101,2012,12,22.0,N
IDCJAC0001,79101,2013,01,1.2,N
IDCJAC0001,79101,2013,02,42.6,N
IDCJAC0001,79101,2013,03,8.8,N
IDCJAC0001,79101,2013,04,28.0,N
IDCJAC0001,79101,2013,05,46.2,N
IDCJAC0001,79101,2013,06,75.2,N
IDCJAC0001,79101,2013,07,88.0,N
IDCJAC0001,79101,2013,08,101.2,N
IDCJAC0001,79101,2013,09,61.0,N
IDCJAC0001,79101,2013,10,94.2,N
IDCJAC0001,79101,2013,11,61.8,N
IDCJAC0001,79101,2013,12,22.0,N
IDCJAC0001,79101,2014,01,17.4,N
IDCJAC0001,79101,2014,02,12.6,N
IDCJAC0001,79101,2014,03,23.0,N
IDCJAC0001,79101,2014,04,81.2,N
IDCJAC0001,79101,2014,05,54.8,N
IDCJAC0001,79101,2014,06,121.8,N
IDCJAC0001,79101,2014,07,89.4,N
IDCJAC0001,79101,2014,08,40.6,N
IDCJAC0001,79101,2014,09,32.2,N
IDCJAC0001,79101,2014,10,15.4,N
IDCJAC0001,79101,2014,11,37.0,N
IDCJAC0001,79101,2014,12,13.0,N
IDCJAC0001,79101,2015,01,102.0,N
IDCJAC0001,79101,2015,02,8.6,N
IDCJAC0001,79101,2015,03,47.4,N
IDCJAC0001,79101,2015,04,59.6,N
IDCJAC0001,79101,2015,05,79.8,N
IDCJAC0001,79101,2015,06,54.8,N
IDCJAC0001,79101,2015,07,84.0,N
IDCJAC0001,79101,2015,08,63.0,N
IDCJAC0001,79101,2015,09,74.0,N
IDCJAC0001,79101,2015,10,8.0,N
IDCJAC0001,79101,2015,11,28.6,N
IDCJAC0001,79101,2015,12,28.6,N
IDCJAC0001,79101,2016,01,39.6,N
IDCJAC0001,79101,2016,02,13.4,N
IDCJAC0001,79101,2016,03,6.0,N
IDCJAC0001,79101,2016,04,17.8,N
IDCJAC0001,79101,2016,05,119.0,N
IDCJAC0001,79101,2016,06,75.4,N
IDCJAC0001,79101,2016,07,102.0,N
IDCJAC0001,79101,2016,08,73.8,N
IDCJAC0001,79101,2016,09,161.6,N
IDCJAC0001,79101,2016,10,91.2,N
IDCJAC0001,79101,2016,11,36.6,N
IDCJAC0001,79101,2016,12,46.4,N
IDCJAC0001,79101,2017,01,38.6,N
IDCJAC0001,79101,2017,02,37.0,N
IDCJAC0001,79101,2017,03,35.2,N
IDCJAC0001,79101,2017,04,81.0,N
IDCJAC0001,79101,2017,05,60.6,N
IDCJAC0001,79101,2017,06,22.2,N
IDCJAC0001,79101,2017,07,87.4,N
IDCJAC0001,79101,2017,08,95.4,N
IDCJAC0001,79101,2017,09,62.8,N
IDCJAC0001,79101,2017,10,61.0,N
IDCJAC0001,79101,2017,11,56.0,N
IDCJAC0001,79101,2017,12,39.4,N
IDCJAC0001,79101,2018,01,15.2,N
IDCJAC0001,79101,2018,02,11.8,N
IDCJAC0001,79101,2018,03,37.8,N
IDCJAC0001,79101,2018,04,19.2,N
IDCJAC0001,79101,2018,06,26.8,N
IDCJAC0001,79101,2018,07,28.0,N
IDCJAC0001,79101,2018,08,89.4,N
IDCJAC0001,79101,2018,09,19.2,N
IDCJAC0001,79101,2018,10,36.6,N
IDCJAC0001,79101,2018,11,74.0,N
IDCJAC0001,79101,2018,12,81.8,N
IDCJAC0001,79101,2019,01,3.4,N
IDCJAC0001,79101,2019,02,25.6,N
IDCJAC0001,79101,2019,03,19.0,N
IDCJAC0001,79101,2019,04,11.6,N
