Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,33045,1950,05,103.5,Y
IDCJAC0001,33045,1950,06,36.6,Y
IDCJAC0001,33045,1950,07,266.1,Y
IDCJAC0001,33045,1950,08,23.8,Y
IDCJAC0001,33045,1950,09,9.7,Y
IDCJAC0001,33045,1950,10,59.3,Y
IDCJAC0001,33045,1950,11,244.2,Y
IDCJAC0001,33045,1950,12,131.2,Y
IDCJAC0001,33045,1951,01,1193.9,Y
IDCJAC0001,33045,1951,02,119.5,Y
IDCJAC0001,33045,1951,03,68.6,Y
IDCJAC0001,33045,1951,04,15.2,Y
IDCJAC0001,33045,1951,05,57.4,Y
IDCJAC0001,33045,1951,06,45.0,Y
IDCJAC0001,33045,1951,07,7.4,Y
IDCJAC0001,33045,1951,08,4.0,Y
IDCJAC0001,33045,1951,09,36.5,Y
IDCJAC0001,33045,1951,10,9.3,Y
IDCJAC0001,33045,1951,11,0.5,Y
IDCJAC0001,33045,1951,12,97.8,Y
IDCJAC0001,33045,1952,01,240.6,Y
IDCJAC0001,33045,1952,02,273.7,Y
IDCJAC0001,33045,1952,03,84.2,Y
IDCJAC0001,33045,1952,04,113.3,Y
IDCJAC0001,33045,1952,05,53.7,Y
IDCJAC0001,33045,1952,06,80.6,Y
IDCJAC0001,33045,1952,07,8.2,Y
IDCJAC0001,33045,1952,08,20.7,Y
IDCJAC0001,33045,1952,09,39.6,Y
IDCJAC0001,33045,1952,10,32.6,Y
IDCJAC0001,33045,1952,11,34.8,Y
IDCJAC0001,33045,1952,12,40.4,Y
IDCJAC0001,33045,1953,01,583.3,Y
IDCJAC0001,33045,1953,02,261.8,Y
IDCJAC0001,33045,1953,03,100.1,Y
IDCJAC0001,33045,1953,04,108.7,Y
IDCJAC0001,33045,1953,05,67.9,Y
IDCJAC0001,33045,1953,06,17.7,Y
IDCJAC0001,33045,1953,07,3.7,Y
IDCJAC0001,33045,1953,08,108.2,Y
IDCJAC0001,33045,1953,09,1.5,Y
IDCJAC0001,33045,1953,10,55.4,Y
IDCJAC0001,33045,1953,11,20.2,Y
IDCJAC0001,33045,1953,12,18.6,Y
IDCJAC0001,33045,1954,01,864.0,Y
IDCJAC0001,33045,1954,02,458.9,Y
IDCJAC0001,33045,1954,03,253.1,Y
IDCJAC0001,33045,1954,04,402.2,Y
IDCJAC0001,33045,1954,05,26.2,Y
IDCJAC0001,33045,1954,06,24.3,Y
IDCJAC0001,33045,1954,07,28.7,Y
IDCJAC0001,33045,1954,08,47.7,Y
IDCJAC0001,33045,1954,09,22.1,Y
IDCJAC0001,33045,1954,10,201.4,Y
IDCJAC0001,33045,1954,11,150.9,Y
IDCJAC0001,33045,1954,12,46.5,Y
