Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,86373,1991,,,,,,,,,,,,,,,,,,,,,,,31.4,26,
IDCJAC0005,86373,1992,33.5,20,30.1,17,30.8,10,27.9,03,21.8,04,15.3,01,15.0,17,15.3,05,16.1,27,27.2,15,25.2,17,28.6,11,33.5
IDCJAC0005,86373,1993,34.8,15,37.3,03,27.3,13,25.7,22,23.6,01,16.2,30,18.4,29,25.7,16,23.3,28,22.8,08,27.9,18,30.1,11,37.3
IDCJAC0005,86373,1994,33.0,26,31.0,05,28.1,24,25.4,26,20.8,06,15.6,16,19.3,07,18.4,27,20.9,01,28.1,16,28.7,19,35.6,20,35.6
IDCJAC0005,86373,1995,34.1,11,39.4,24,31.6,07,22.1,15,19.7,12,18.0,09,14.0,12,21.9,25,21.7,18,26.0,19,27.7,17,28.1,09,39.4
IDCJAC0005,86373,1996,32.6,14,28.7,26,28.7,12,22.7,06,20.5,04,16.5,01,14.6,23,15.7,25,21.8,16,25.7,11,25.7,02,30.0,21,32.6
IDCJAC0005,86373,1997,36.8,20,37.3,18,29.8,07,25.6,13,22.5,01,18.4,05,16.7,26,17.3,29,20.1,25,20.0,07,35.5,26,29.1,11,37.3
IDCJAC0005,86373,1998,33.4,22,33.4,26,33.7,12,27.8,07,18.6,14,18.8,05,15.0,20,18.0,28,23.8,28,25.4,24,28.0,26,35.6,11,35.6
IDCJAC0005,86373,1999,33.3,15,33.0,03,28.7,09,23.6,10,21.4,06,17.9,04,16.1,08,20.5,31,22.8,16,24.7,17,28.7,30,32.5,02,33.3
IDCJAC0005,86373,2000,32.2,14,34.8,18,32.9,02,25.6,09,19.5,12,15.8,25,16.6,23,18.2,03,19.3,29,23.6,22,29.7,28,33.6,21,34.8
IDCJAC0005,86373,2001,33.9,11,34.4,20,29.7,06,25.1,16,20.2,01,18.9,05,15.3,11,19.2,30,24.0,29,24.9,22,26.5,04,31.7,29,34.4
IDCJAC0005,86373,2002,33.5,20,32.3,15,31.1,24,27.3,03,23.1,08,17.2,06,16.6,13,17.8,28,24.1,15,25.5,18,29.5,12,32.3,02,33.5
IDCJAC0005,86373,2003,37.7,25,31.6,23,30.0,18,24.6,07,21.0,08,18.1,02,15.7,11,16.0,04,19.5,21,24.7,18,34.0,15,34.4,17,37.7
IDCJAC0005,86373,2004,30.8,20,34.0,20,32.6,03,29.5,14,19.0,24,18.1,08,15.8,10,20.7,26,21.4,21,27.1,12,28.4,26,31.8,31,34.0
IDCJAC0005,86373,2005,34.2,28,31.8,01,33.6,01,28.5,10,21.6,04,19.7,08,16.5,28,20.2,29,22.3,09,23.9,23,29.0,02,31.5,27,34.2
IDCJAC0005,86373,2006,36.1,22,33.6,24,32.3,12,23.4,11,18.1,06,16.4,22,15.6,27,20.1,31,24.9,19,30.4,12,31.8,21,36.1,10,36.1
IDCJAC0005,86373,2007,34.1,16,35.7,17,32.6,23,27.3,10,21.8,16,15.4,03,16.6,25,21.3,27,19.7,23,26.2,27,32.5,20,35.7,31,35.7
IDCJAC0005,86373,2008,37.2,10,32.9,19,36.8,16,24.7,11,19.4,15,17.8,11,17.1,14,17.6,30,23.2,26,26.7,25,28.4,13,29.9,22,37.2
IDCJAC0005,86373,2009,39.7,30,42.1,07,31.3,21,30.8,02,21.2,24,18.0,30,17.1,21,19.0,15,23.8,12,25.9,29,33.3,20,33.3,30,42.1
IDCJAC0005,86373,2010,39.0,11,32.7,26,31.7,04,27.5,20,22.0,04,18.5,02,15.7,13,16.5,30,17.8,26,25.4,29,28.5,12,37.2,31,39.0
IDCJAC0005,86373,2011,35.1,30,34.6,01,29.3,13,24.6,09,19.0,02,18.2,02,16.4,31,20.3,03,25.1,19,25.9,20,30.8,29,30.4,31,35.1
IDCJAC0005,86373,2012,34.9,02,35.0,25,29.6,14,26.5,06,21.1,01,15.3,02,16.1,25,18.6,22,23.0,27,29.1,30,32.0,29,35.2,23,35.2
IDCJAC0005,86373,2013,35.9,04,34.2,06,34.8,12,25.6,07,23.5,11,16.1,02,19.3,18,20.2,31,22.4,04,27.9,20,29.4,27,37.1,19,37.1
IDCJAC0005,86373,2014,39.3,17,35.0,09,32.3,04,31.1,01,21.6,19,17.8,21,16.5,31,19.3,31,24.4,23,28.5,22,30.6,08,28.7,13,39.3
IDCJAC0005,86373,2015,35.7,03,33.6,22,28.1,14,26.3,15,20.4,01,16.8,23,16.0,23,17.1,22,24.9,14,30.9,06,30.2,09,38.2,31,38.2
IDCJAC0005,86373,2016,40.2,13,36.1,23,34.4,08,26.7,05,22.8,07,16.5,03,16.6,18,19.7,29,21.3,08,24.4,30,30.9,21,34.2,28,40.2
IDCJAC0005,86373,2017,35.3,23,31.1,09,31.4,27,26.4,06,19.5,18,16.5,03,16.8,29,18.6,14,23.7,23,28.7,18,33.6,30,34.0,13,35.3
IDCJAC0005,86373,2018,37.2,28,31.4,07,31.3,10,26.4,08,22.1,03,17.6,06,17.4,27,17.8,03,21.3,27,26.0,15,29.3,19,34.2,28,37.2
IDCJAC0005,86373,2019,37.6,04,34.8,28,37.4,01,28.1,16,,,,,,,,,,,,,,,,,
