Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,40043,1910,01,30.0,20,Y
IDCJAC0005,40043,1910,02,28.9,21,Y
IDCJAC0005,40043,1910,03,30.8,08,Y
IDCJAC0005,40043,1910,04,26.1,10,Y
IDCJAC0005,40043,1910,05,26.1,03,Y
IDCJAC0005,40043,1910,06,23.9,14,Y
IDCJAC0005,40043,1910,07,22.8,30,Y
IDCJAC0005,40043,1910,08,23.9,25,Y
IDCJAC0005,40043,1910,09,25.0,28,Y
IDCJAC0005,40043,1910,10,25.6,25,Y
IDCJAC0005,40043,1910,11,26.7,23,Y
IDCJAC0005,40043,1910,12,31.7,14,Y
IDCJAC0005,40043,1911,01,29.4,21,Y
IDCJAC0005,40043,1911,02,28.9,15,Y
IDCJAC0005,40043,1911,03,30.0,19,Y
IDCJAC0005,40043,1911,04,28.9,25,Y
IDCJAC0005,40043,1911,05,25.0,16,Y
IDCJAC0005,40043,1911,06,23.5,17,Y
IDCJAC0005,40043,1911,07,25.3,09,Y
IDCJAC0005,40043,1911,08,22.7,15,Y
IDCJAC0005,40043,1911,09,24.7,27,Y
IDCJAC0005,40043,1911,10,26.7,13,Y
IDCJAC0005,40043,1911,11,27.8,30,Y
IDCJAC0005,40043,1911,12,29.7,25,Y
IDCJAC0005,40043,1912,01,30.6,29,Y
IDCJAC0005,40043,1912,02,30.2,27,Y
IDCJAC0005,40043,1912,03,30.0,01,Y
IDCJAC0005,40043,1912,04,30.2,01,Y
IDCJAC0005,40043,1912,05,26.1,03,Y
IDCJAC0005,40043,1912,06,23.3,18,Y
IDCJAC0005,40043,1912,07,23.1,28,Y
IDCJAC0005,40043,1912,08,22.8,18,Y
IDCJAC0005,40043,1912,09,26.4,03,Y
IDCJAC0005,40043,1912,10,25.3,30,Y
IDCJAC0005,40043,1912,11,26.8,18,Y
IDCJAC0005,40043,1912,12,28.3,20,Y
IDCJAC0005,40043,1913,01,28.1,20,Y
IDCJAC0005,40043,1913,02,28.6,19,Y
IDCJAC0005,40043,1913,03,28.9,18,Y
IDCJAC0005,40043,1913,04,27.2,08,Y
IDCJAC0005,40043,1913,05,23.9,23,Y
IDCJAC0005,40043,1913,06,21.7,06,Y
IDCJAC0005,40043,1913,07,22.8,16,Y
IDCJAC0005,40043,1913,08,23.7,28,Y
IDCJAC0005,40043,1913,09,24.1,26,Y
IDCJAC0005,40043,1913,10,26.8,29,Y
IDCJAC0005,40043,1913,11,31.2,26,Y
IDCJAC0005,40043,1913,12,30.6,15,Y
IDCJAC0005,40043,1914,01,29.0,17,Y
IDCJAC0005,40043,1914,02,29.4,11,Y
IDCJAC0005,40043,1914,03,27.8,27,Y
IDCJAC0005,40043,1914,04,28.9,03,Y
IDCJAC0005,40043,1914,05,28.9,01,Y
IDCJAC0005,40043,1914,06,22.2,15,Y
IDCJAC0005,40043,1914,07,20.8,25,Y
IDCJAC0005,40043,1914,08,23.6,19,Y
IDCJAC0005,40043,1914,09,25.3,20,Y
IDCJAC0005,40043,1914,10,25.0,31,Y
