,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-05,19.5,26.5,10.6,,,SSE,35.0,17:39,21.4,87,, ,Calm,1014.0,26.2,65,,SE,17,1012.8
1,,2018-03-06,17.9,25.0,13.2,,,SSE,46.0,10:54,19.7,78,,SSE,17,1020.4,21.9,62,,SSE,26,1021.2
2,,2018-03-07,16.8,25.8,1.8,,,SSE,39.0,11:18,21.4,71,,SSE,13,1024.5,24.6,46,,ESE,22,1023.7
3,,2018-03-08,13.9,24.9,0.0,,,SE,33.0,14:02,20.6,72,,S,11,1024.5,23.3,56,,SSE,20,1023.3
4,,2018-03-09,17.2,26.1,0.0,,,ESE,39.0,12:44,19.4,81,,SSW,17,1026.0,25.6,55,,ESE,22,1023.9
5,,2018-03-10,15.4,26.8,0.0,,,SE,31.0,10:23,21.4,71,,SSE,13,1026.3,24.8,49,,ESE,19,1024.2
6,,2018-03-11,12.7,28.3,0.0,,,ENE,26.0,15:50,19.7,79,,N,7,1023.1,26.9,42,,SSE,9,1019.1
7,,2018-03-12,9.6,28.6,0.0,,,E,28.0,14:57,17.7,86,,NNE,7,1018.4,27.5,40,,ESE,11,1014.8
8,,2018-03-13,14.3,26.4,0.0,,,SE,37.0,16:11,20.6,79,,SSE,15,1018.7,25.0,60,,SE,22,1017.8
9,,2018-03-14,17.1,30.0,0.0,,,ENE,31.0,11:40,22.2,81,,SE,9,1019.4,27.8,42,,E,15,1014.7
10,,2018-03-15,15.5,34.2,0.0,,,S,31.0,21:59,21.4,82,,N,9,1013.5,33.0,32,,NW,13,1009.1
11,,2018-03-16,21.3,28.9,0.0,,,SSE,31.0,14:03,23.4,69,,SSE,13,1016.7,27.5,56,,SSE,22,1014.4
12,,2018-03-17,20.8,36.9,0.0,,,N,35.0,14:09,23.5,75,,NW,13,1015.9,35.0,24,,NNW,13,1011.4
13,,2018-03-18,16.0,38.2,0.0,,,WNW,52.0,12:40,24.5,64,,N,9,1014.0,37.6,21,,NW,24,1009.4
14,,2018-03-19,18.5,36.0,0.0,,,ENE,31.0,16:10,23.5,68,,SSE,7,1015.9,35.1,32,,NNE,11,1011.7
15,,2018-03-20,15.7,29.8,0.0,,,SSE,50.0,18:43,22.8,68,,S,7,1018.3,28.6,48,,SSE,19,1018.0
16,,2018-03-21,19.3,20.7,2.8,,,SSE,44.0,23:21,19.5,89,,S,20,1024.5,19.2,95,,SSE,19,1024.0
17,,2018-03-22,16.7,21.8,65.6,,,S,39.0,11:55,18.6,85,,S,13,1025.2,20.1,81,,SSE,15,1023.8
18,,2018-03-23,17.3,22.6,7.2,,,E,30.0,12:08,18.2,93,,S,13,1023.8,22.1,70,,E,17,1021.1
19,,2018-03-24,16.0,27.6,1.8,,,NE,20.0,14:14,19.4,91,,SE,4,1020.0,26.0,59,,NE,13,1015.2
20,,2018-03-25,16.0,32.5,0.0,,,NNW,48.0,11:44,23.8,68,,NNW,15,1011.8,31.9,38,,NW,24,1005.4
21,,2018-03-26,19.5,27.1,16.6,,,WSW,35.0,02:54,19.8,91,,NNW,20,1006.8,27.0,40,,NNW,9,1006.7
