,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-05,14.9,19.5,0.0,,,SSE,35.0,22:01,16.1,70.0,,S,22,1020.7,18.7,53.0,,S,22,1023.1
1,,2018-03-06,15.3,19.2,0.0,,,SE,46.0,15:37,16.5,72.0,,ESE,26,1026.3,18.8,66.0,,SE,28,1026.2
2,,2018-03-07,16.5,21.6,0.0,,,E,46.0,23:37,18.2,77.0,,ENE,22,1025.9,21.1,68.0,,SE,17,1024.4
3,,2018-03-08,17.1,22.7,0.0,,,E,30.0,23:01,17.9,94.0,,E,15,1024.6,22.2,72.0,,SE,13,1023.8
4,,2018-03-09,12.8,23.4,0.0,,,ENE,26.0,19:27,18.7,91.0,,E,9,1025.2,22.6,70.0,,ESE,11,1023.9
5,,2018-03-10,14.3,31.3,0.0,,,WNW,33.0,16:45,19.1,77.0,,N,9,1022.8,30.0,30.0,,W,15,1020.7
6,,2018-03-11,17.3,19.0,0.0,,,S,46.0,10:50,18.1,81.0,,S,28,1024.9,18.4,61.0,,S,26,1026.4
7,,2018-03-12,15.0,18.8,0.0,,,SSE,41.0,06:25,15.8,67.0,,E,15,1025.2,17.7,61.0,,SSE,19,1024.4
8,,2018-03-13,14.5,19.1,0.0,,,S,44.0,23:40,16.3,66.0,,S,22,1025.0,16.6,71.0,,S,24,1024.2
9,,2018-03-14,15.2,18.4,0.0,,,S,33.0,05:28,15.9,70.0,,SW,6,1021.4,17.8,61.0,,S,15,1019.1
10,,2018-03-15,15.1,18.7,0.0,,,SSE,35.0,17:46,16.1,75.0,,WNW,11,1015.8,18.0,73.0,,NE,11,1016.3
11,,2018-03-16,13.5,21.3,0.8,,,NNE,31.0,08:11,14.7,88.0,,NNE,19,1015.5,21.0,68.0,,E,17,1012.5
12,,2018-03-17,14.7,33.8,0.0,,,NNW,78.0,22:10,19.8,68.0,,NNW,24,1008.5,32.4,22.0,,NNW,41,1002.4
13,,2018-03-18,12.3,17.9,9.4,,,W,87.0,08:51,15.3,67.0,,W,56,1004.0,17.1,61.0,,W,44,1010.5
14,,2018-03-19,12.9,19.7,0.6,,,WNW,70.0,03:25,16.1,90.0,,WNW,35,1012.2,17.4,89.0,,WNW,37,1013.9
15,,2018-03-20,14.1,17.0,2.2,,,SE,61.0,22:28,14.6,56.0,,SSE,30,1027.7,16.5,58.0,,SE,33,1030.1
16,,2018-03-21,13.9,19.1,0.0,,,E,65.0,05:37,16.8,69.0,,E,43,1029.1,18.6,70.0,,E,43,1025.5
17,,2018-03-22,15.5,21.0,0.0,,,ENE,54.0,03:08,16.3,75.0,,ENE,41,1023.2,20.0,72.0,,E,33,1019.8
18,,2018-03-23,15.8,31.9,0.0,,,N,46.0,10:47,19.3,70.0,,NNE,20,1018.6,31.2,32.0,,N,22,1014.4
19,,2018-03-24,16.9,21.5,5.8,,,NNW,37.0,00:38,16.9,92.0,,N,13,1011.5,20.2,73.0,,W,11,1009.3
20,,2018-03-25,15.4,19.2,0.0,,,WSW,104.0,21:49,15.7,81.0,,W,50,1001.2,13.9,81.0,,WNW,57,998.3
21,,2018-03-26,7.5,16.4,6.0,,,W,78.0,23:43,14.3,67.0,,WNW,28,1009.6,14.9,62.0,,WNW,26,1012.4
22,,2018-03-27,11.3,21.0,0.0,,,NNW,35.0,11:18,12.7,78.0,,N,15,1015.2,19.2,51.0,,NW,19,1012.1
23,,2018-03-28,12.7,17.9,0.0,,,WNW,59.0,05:42,16.3,90.0,,WNW,37,1010.9,17.7,86.0,,W,24,1014.4
24,,2018-03-29,14.3,20.8,0.0,,,WNW,48.0,16:36,16.4,74.0,,NW,15,1016.7,19.4,57.0,,WNW,30,1015.3
25,,2018-03-30,15.4,17.9,0.8,,,W,50.0,07:44,15.6,87.0,,W,35,1015.6,17.2,71.0,,W,33,1017.5
26,,2018-03-31,12.8,20.4,0.0,,,W,33.0,15:20,14.1,67.0,,NNW,13,1019.1,19.6,51.0,,WNW,20,1016.7
27,,2018-04-05,11.2,18.4,0.0,,,W,31.0,18:13,15.0,69.0,,WSW,17,1018.1,17.9,64.0,,WNW,15,1017.0
28,,2018-04-06,15.0,18.7,0.0,,,S,33.0,09:36,17.0,82.0,,ESE,13,1020.9,17.8,71.0,,S,11,1020.5
29,,2018-04-07,9.6,22.1,0.0,,,NE,26.0,23:15,16.9,66.0,,N,13,1021.0,19.6,64.0,,S,7,1018.4
30,,2018-04-08,14.7,27.3,0.0,,,WNW,54.0,13:12,22.1,36.0,,NNW,28,1012.5,18.4,78.0,,W,24,1014.7
31,,2018-04-09,15.0,23.8,0.2,,,ENE,37.0,17:57,16.0,87.0,,S,9,1020.2,17.6,75.0,,ENE,24,1016.4
32,,2018-04-10,15.9,31.5,0.2,,,W,48.0,16:43,23.0,51.0,,NNW,13,1012.8,24.1,54.0,,WNW,24,1012.3
33,,2018-04-11,15.2,18.2,0.0,,,E,69.0,21:09,16.4,89.0,,ESE,17,1017.1,16.5,84.0,,ESE,22,1014.1
34,,2018-04-12,15.4,17.4,1.8,,,WNW,67.0,07:38,16.7,86.0,,WNW,43,1007.7,15.9,72.0,,W,28,1010.3
35,,2018-04-13,10.0,21.8,0.0,,,WNW,80.0,20:08,15.1,93.0,,NNW,22,1007.2,21.1,54.0,,N,28,999.5
36,,2018-04-14,10.5,15.6,10.6,,,NNW,106.0,07:16,13.2,85.0,,W,54,991.0,14.1,73.0,,WSW,44,995.8
37,,2018-04-15,9.6,16.5,4.4,,,WSW,91.0,02:32,15.6,84.0,,WSW,50,1002.3,15.6,83.0,,W,35,1005.1
38,,2018-04-16,14.5,16.2,0.6,,,W,76.0,07:58,15.6,91.0,,WNW,30,1011.5,15.7,64.0,,ENE,15,1016.1
39,,2018-04-17,12.6,15.1,0.2,,,S,44.0,01:18,13.3,61.0,,SSE,19,1026.2,14.7,61.0,,SE,13,1025.4
40,,2018-04-18,9.0,16.4,0.0,,,ENE,37.0,10:40,13.5,72.0,,ENE,24,1023.2,16.0,67.0,,E,15,1019.0
41,,2018-04-19,9.9,20.7,0.0,,,ENE,28.0,21:00,15.5,79.0,,NW,2,1018.7,19.7,64.0,,E,13,1017.5
42,,2018-04-20,12.4,23.9,0.0,,,ENE,33.0,21:24,17.2,70.0,,NNE,15,1021.0,20.3,68.0,,ENE,19,1019.1
43,,2018-04-21,16.4,22.4,0.0,,,NW,48.0,03:35,19.4,67.0,,NNW,6,1020.8,21.9,64.0,,SE,7,1019.8
44,,2018-04-22,14.9,19.2,0.0,,,ENE,24.0,11:27,15.9,89.0,,E,15,1023.4,17.8,75.0,,E,19,1020.4
45,,2018-04-23,12.9,19.5,0.0,,,ENE,39.0,08:14,13.2,97.0,,ENE,26,1018.3,16.9,90.0,,ENE,17,1014.7
46,,2018-04-24,12.9,19.3,0.6,,,NW,50.0,08:34,17.6,80.0,,WNW,33,1013.5,17.7,80.0,,W,33,1014.8
47,,2018-04-25,13.8,18.0,2.6,,,W,46.0,23:43,14.4,93.0,,NNW,11,1016.9,16.8,85.0,,W,13,1014.4
48,,2018-04-26,13.9,17.4,0.6,,,W,43.0,00:04,15.6,70.0,,W,19,1020.3,16.2,60.0,,N,13,1021.5
49,,2018-04-27,7.4,17.8,0.2,,,E,26.0,22:40,12.6,89.0,, ,Calm,1027.6,16.6,68.0,,SE,11,1027.1
50,,2018-04-28,11.1,17.6,0.0,,,SSE,35.0,15:07,15.4,79.0,,ENE,19,1028.1,15.4,75.0,,S,26,1027.5
51,,2018-04-29,8.0,17.4,0.0,,,S,30.0,07:09,15.0,89.0,,SSE,9,1030.5,16.0,81.0,,WNW,15,1029.3
52,,2018-04-30,7.6,15.3,0.0,,,W,22.0,13:18,12.3,94.0,,NW,11,1029.3,14.9,84.0,,W,15,1027.2
53,,2018-05-05,11.8,18.1,8.0,,,WSW,59.0,04:21,15.5,86.0,,W,39,1025.0,17.4,81.0,,WNW,33,1025.6
54,,2018-05-06,13.7,19.1,1.4,,,WSW,52.0,02:16,15.2,88.0,,NW,20,1030.0,17.9,76.0,,WNW,17,1026.6
55,,2018-05-07,13.0,19.2,0.2,,,NNW,74.0,12:44,15.7,57.0,,NNW,37,1014.4,18.1,51.0,,NW,43,1010.2
56,,2018-05-08,9.1,16.2,4.4,,,SSE,37.0,00:08,11.6,74.0,,N,9,1022.8,15.6,61.0,,W,20,1021.0
57,,2018-05-09,11.6,17.9,0.0,,,W,67.0,21:12,13.4,86.0,,NW,28,1016.7,13.1,87.0,,NNW,17,1013.3
58,,2018-05-10,7.6,13.1,10.2,,,S,94.0,15:42,10.6,71.0,,NE,24,1011.2,11.9,68.0,,S,56,1011.5
59,,2018-05-11,8.2,13.5,6.4,,,S,93.0,07:00,12.1,73.0,,S,56,1020.4,12.8,70.0,,SSE,54,1021.7
60,,2018-05-12,11.7,13.8,0.0,,,SSE,57.0,01:19,13.2,77.0,,SSE,35,1028.7,13.2,86.0,,S,26,1028.7
