,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-05,23.9,,0.0,,,,,,28.9,79.0,4.0,ENE,6,1007.8,,,,,,
1,,2018-03-06,,33.0,0.0,,,,,,,,,,,,,,,,,
2,,2018-03-07,26.5,33.7,0.0,,,,,,30.8,83.0,4.0,NW,15,1004.3,,,,,,
3,,2018-03-08,28.5,,0.0,,,,,,31.0,78.0,5.0,NW,22,1004.5,,,,,,
4,,2018-03-09,,32.5,0.0,,,,,,,,,,,,,,,,,
5,,2018-03-10,23.5,32.9,2.2,,,,,,30.0,78.0,5.0,NW,13,1007.9,,,,,,
6,,2018-03-11,24.8,32.6,0.0,,,,,,30.2,78.0,7.0,NW,6,1010.0,,,,,,
7,,2018-03-12,25.4,32.7,16.6,,,,,,28.2,84.0,6.0,SE,19,1008.9,,,,,,
8,,2018-03-13,23.9,33.6,28.6,,,,,,27.2,88.0,7.0,SSE,7,1008.9,,,,,,
9,,2018-03-14,25.4,33.5,2.8,,,,,,29.0,83.0,6.0,E,11,1008.5,,,,,,
10,,2018-03-15,24.4,34.0,0.0,,,,,,29.0,76.0,3.0,SE,15,1008.8,,,,,,
11,,2018-03-16,23.3,33.2,0.0,,,,,,28.2,64.0,5.0,SE,13,1008.5,,,,,,
12,,2018-03-17,25.1,27.3,1.6,,,,,,26.5,87.0,8.0,SSE,41,1005.7,,,,,,
13,,2018-03-18,21.4,32.0,37.0,,,,,,27.0,84.0,7.0,NE,22,1008.6,,,,,,
14,,2018-03-19,24.1,32.0,5.6,,,,,,29.0,80.0,6.0,NE,9,1010.9,,,,,,
15,,2018-03-20,24.7,32.5,0.0,,,,,,29.4,82.0,6.0, ,Calm,1008.5,,,,,,
16,,2018-03-21,24.0,,24.2,,,,,,28.8,86.0,6.0,S,9,1006.9,,,,,,
17,,2018-03-22,,32.8,0.6,,,,,,,,,,,,,,,,,
