,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-04,14.0,29.5,,,,ESE,39.0,13:01,20.3,57,,ENE,20,1018.4,28.6,28,,E,17,1015.0
1,,2018-03-05,15.7,30.7,,,,NE,43.0,12:11,21.2,54,,ENE,28,1018.9,30.0,34,,ENE,20,1014.8
2,,2018-03-06,18.3,32.5,,,,NE,43.0,09:12,23.1,43,,NE,28,1018.3,31.8,29,,NNE,9,1013.9
3,,2018-03-07,18.0,33.7,,,,NNE,31.0,08:17,24.1,40,,NNE,22,1016.6,32.7,12,,SE,13,1012.4
4,,2018-03-08,16.6,34.3,,,,NNE,28.0,08:31,25.7,33,,NNE,20,1015.8,33.1,13,,SSE,13,1011.7
5,,2018-03-09,15.7,35.7,,,,SE,57.0,22:14,27.2,25,,NNE,17,1016.2,34.7,12,,SW,19,1012.6
6,,2018-03-10,16.0,29.0,,,,ESE,59.0,16:40,19.7,66,,ESE,35,1022.4,27.5,41,,ESE,39,1019.9
7,,2018-03-11,16.4,29.9,,,,ENE,46.0,01:16,19.2,61,,NE,26,1027.0,28.9,34,,E,28,1022.4
8,,2018-03-12,16.8,32.0,,,,E,41.0,00:36,20.3,59,,NE,26,1025.9,30.5,31,,E,20,1020.3
9,,2018-03-13,19.2,34.6,,,,ENE,33.0,07:42,23.9,51,,NE,20,1021.5,33.5,24,,NE,13,1016.0
10,,2018-03-14,22.0,38.0,,,,NNW,46.0,12:04,27.6,34,,N,24,1014.9,36.7,17,,W,20,1009.9
11,,2018-03-15,23.5,34.2,,,,SW,44.0,16:00,27.2,46,,ESE,15,1010.6,32.1,28,,W,28,1008.6
12,,2018-03-16,17.3,28.6,,,,SSE,31.0,03:59,20.4,66,,SE,15,1013.6,27.2,33,,S,19,1010.3
13,,2018-03-17,13.6,27.2,,,,SSW,44.0,09:57,17.9,50,,SW,24,1015.6,25.9,28,,SSW,24,1013.9
14,,2018-03-18,9.2,27.2,,,,ESE,41.0,00:25,16.3,48,,E,20,1022.9,26.0,20,,ESE,15,1019.5
15,,2018-03-19,13.0,30.2,,,,E,37.0,14:32,20.1,48,,E,13,1023.1,29.4,23,,E,20,1019.0
16,,2018-03-20,15.6,30.9,,,,NE,48.0,10:34,22.2,51,,ENE,30,1021.5,29.6,27,,NE,24,1016.2
17,,2018-03-21,19.9,32.0,,,,NNE,48.0,05:18,23.9,43,,NE,31,1014.2,30.9,28,,NNE,22,1009.9
18,,2018-03-22,21.9,38.6,,,,NW,48.0,14:11,28.5,35,,N,20,1009.2,37.7,13,,WNW,31,1005.9
19,,2018-03-23,17.6,32.2,,,,SE,43.0,21:48,20.8,62,,S,19,1014.2,30.3,31,,S,17,1011.7
20,,2018-03-24,15.4,23.1,,,,SE,44.0,17:55,18.2,64,,E,20,1016.0,22.5,52,,ESE,28,1014.1
21,,2018-03-25,14.9,26.6,,,,E,41.0,20:37,19.4,57,,E,24,1018.0,25.8,39,,E,22,1014.4
22,,2018-03-26,19.4,37.7,,,,NW,59.0,13:54,26.6,37,,N,17,1010.6,37.2,17,,WNW,35,1004.2
23,,2018-03-27,18.3,25.6,,,,WSW,44.0,01:17,20.4,63,,S,19,1013.3,24.9,42,,W,9,1012.6
24,,2018-03-28,10.4,29.8,0.0,,,S,24.0,15:34,20.6,51,,SE,9,1019.0,28.8,21,,ESE,7,1015.9
25,,2018-03-29,11.7,32.6,0.0,,,E,31.0,23:46,20.9,47,,SE,13,1019.9,31.7,20,,NE,6,1016.0
