,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-05,13.0,25.0,0.0,,,SE,48.0,15:00,17.3,55,,E,15,1021.3,24.2,36,,SE,31,1020.2
1,,2018-03-06,13.4,26.3,0.0,,,SSE,52.0,13:49,17.2,57,,ESE,37,1023.1,25.3,33,,SSE,28,1020.3
2,,2018-03-07,16.7,34.4,0.0,,,ESE,44.0,08:07,23.6,43,,ESE,31,1019.3,31.0,32,,WSW,22,1016.7
3,,2018-03-08,15.4,36.0,0.0,,,ENE,63.0,14:47,25.3,29,,ESE,22,1020.1,35.2,14,,ESE,26,1017.1
4,,2018-03-09,17.9,37.4,0.0,,,E,46.0,12:52,26.7,32,,ESE,17,1021.5,36.0,13,,E,20,1018.0
5,,2018-03-10,15.1,36.0,0.0,,,N,39.0,11:14,26.3,28,,NE,13,1021.6,34.0,17,,WSW,13,1020.4
6,,2018-03-11,15.4,33.8,0.0,,,SSE,46.0,13:47,22.4,71,,S,15,1023.7,32.6,28,,S,22,1021.9
7,,2018-03-12,10.6,26.0,0.0,,,SSE,50.0,18:22,16.5,65,,ESE,26,1025.7,24.3,39,,SSE,30,1023.3
8,,2018-03-13,9.5,25.3,0.0,,,SE,41.0,14:25,16.8,64,,E,19,1025.5,24.0,38,,SSE,22,1022.3
9,,2018-03-14,9.3,25.5,0.0,,,SW,46.0,16:19,16.8,70,,E,17,1021.6,23.9,52,,WSW,26,1017.5
10,,2018-03-15,10.2,26.7,0.0,,,SSW,50.0,14:17,17.5,70,,ESE,19,1016.9,26.0,35,,S,24,1014.9
11,,2018-03-16,14.2,24.9,0.0,,,W,39.0,12:32,20.6,44,,NE,13,1012.9,19.5,80,,WSW,13,1013.8
12,,2018-03-17,17.2,32.3,2.6,,,W,59.0,22:28,23.2,55,,N,17,1007.7,30.8,19,,N,30,1005.0
13,,2018-03-18,15.6,22.0,1.6,,,W,57.0,23:14,18.0,55,,WSW,31,1016.6,21.5,43,,SW,28,1017.4
14,,2018-03-19,10.9,23.2,0.0,,,WSW,41.0,12:02,18.6,66,,WSW,17,1020.7,22.1,59,,WSW,20,1020.2
15,,2018-03-20,13.2,23.9,0.0,,,SSE,48.0,17:50,17.4,81,,SE,19,1026.4,21.9,45,,ESE,20,1024.6
16,,2018-03-21,11.0,24.7,0.0,,,ESE,46.0,23:53,14.3,53,,ESE,31,1024.5,23.2,29,,E,11,1019.8
17,,2018-03-22,7.7,29.8,0.0,,,WSW,26.0,16:04,17.3,60,,E,11,1017.8,29.1,26,,WNW,13,1015.4
18,,2018-03-23,16.9,34.2,0.0,,,N,41.0,10:41,24.1,56,,NE,17,1015.0,32.9,17,,N,20,1012.0
19,,2018-03-24,18.2,34.7,0.0,,,SW,57.0,18:36,22.2,75,,NNE,15,1011.6,34.0,26,,WNW,26,1007.7
20,,2018-03-25,17.1,23.0,1.2,,,SW,61.0,19:40,17.7,82,,SW,30,1011.8,21.6,47,,WSW,37,1011.0
21,,2018-03-26,10.1,21.4,0.8,,,SSW,46.0,23:06,15.4,62,,SE,20,1017.5,20.1,36,,WSW,26,1015.9
22,,2018-03-27,8.2,29.1,0.0,,,N,52.0,12:04,16.8,46,,NNE,26,1014.4,26.9,22,,N,39,1010.0
23,,2018-03-28,14.2,24.1,0.0,,,SW,43.0,15:14,19.5,73,,SSW,13,1016.0,23.0,55,,SW,24,1016.0
