,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-04,24.4,31.2,0.0,,,ESE,33.0,15:29,29.5,76.0,1.0,SE,7,1009.6,28.9,82.0,8.0,E,13.0,1007.1
1,,2018-03-05,24.4,31.5,1.0,,,ESE,33.0,13:56,27.4,85.0,4.0,SW,6,1008.9,30.2,73.0,1.0,E,22.0,1004.7
2,,2018-03-06,23.4,30.5,0.2,,,E,31.0,11:50,26.7,88.0,7.0, ,Calm,1006.6,29.7,68.0,1.0,ENE,20.0,1003.2
3,,2018-03-07,23.8,29.8,17.6,,,ESE,39.0,15:14,25.3,98.0,8.0,N,7,1005.9,28.4,84.0,8.0,SSE,11.0,1003.0
4,,2018-03-08,24.0,29.2,64.6,,,NNW,22.0,11:36,25.5,96.0,7.0, ,Calm,1005.3,26.4,86.0,8.0,ESE,6.0,1003.0
5,,2018-03-09,24.2,30.3,11.4,,,NW,35.0,14:39,27.0,88.0,3.0,W,6,1008.3,25.4,89.0,7.0,NW,19.0,1006.2
6,,2018-03-10,23.2,29.6,71.6,,,SE,50.0,11:49,27.4,76.0,8.0,SE,20,1010.1,29.0,68.0,6.0,SE,22.0,1008.8
7,,2018-03-11,24.1,29.9,5.2,,,SSE,48.0,23:17,28.0,74.0,8.0,SE,20,1010.8,29.2,66.0,6.0,SSE,22.0,1008.5
8,,2018-03-12,23.8,29.5,4.0,,,SE,48.0,07:32,27.5,67.0,3.0,ESE,28,1010.3,29.0,62.0,4.0,SE,24.0,1007.9
9,,2018-03-13,22.9,29.7,5.4,,,ESE,44.0,12:36,27.4,76.0,2.0,SE,19,1010.2,28.8,61.0,,ESE,28.0,1007.8
10,,2018-03-14,22.1,29.9,0.2,,,ESE,44.0,09:57,26.6,71.0,5.0,SE,9,1010.5,29.3,66.0,,ESE,26.0,1006.9
11,,2018-03-15,24.0,30.1,0.0,,,ESE,44.0,14:10,27.3,77.0,4.0,SSE,13,1010.4,28.9,66.0,2.0,ESE,28.0,1008.5
12,,2018-03-16,23.6,30.2,0.0,,,SE,46.0,13:47,28.6,68.0,3.0,SE,17,1012.1,29.2,70.0,4.0,SE,26.0,1009.5
13,,2018-03-17,23.6,30.4,0.8,,,SE,48.0,12:57,28.3,71.0,2.0,SE,20,1012.5,29.2,67.0,5.0,ESE,26.0,1009.9
14,,2018-03-18,23.6,27.9,5.2,,,E,46.0,23:48,25.7,93.0,8.0,ESE,11,1013.4,27.7,83.0,,ESE,11.0,1009.4
15,,2018-03-19,24.8,29.5,17.0,,,SE,39.0,13:36,26.3,94.0,6.0,SE,13,1010.9,29.0,81.0,1.0,SE,19.0,1008.5
16,,2018-03-20,25.2,30.0,8.0,,,SE,50.0,12:27,28.2,79.0,5.0,SE,24,1010.0,29.3,74.0,7.0,SE,28.0,1006.7
17,,2018-03-21,26.1,30.3,0.2,,,SE,44.0,18:17,27.7,83.0,8.0,SE,19,1007.8,28.8,76.0,8.0,ESE,20.0,1005.5
18,,2018-03-22,24.4,28.8,7.6,,,SE,39.0,02:44,27.5,80.0,8.0,ESE,22,1007.3,25.4,90.0,8.0,SSW,6.0,1005.5
19,,2018-03-23,24.2,28.4,8.6,,,E,44.0,12:33,26.2,88.0,8.0,SE,11,1008.1,24.6,96.0,8.0,E,20.0,1005.9
20,,2018-03-24,23.7,28.3,14.4,,,ESE,56.0,06:08,25.9,89.0,8.0,ENE,30,1008.1,26.7,87.0,8.0,ESE,19.0,1005.3
21,,2018-03-25,24.0,29.3,55.8,,,E,52.0,03:00,27.2,91.0,8.0,ENE,26,1006.0,28.6,85.0,8.0,NE,15.0,1002.5
22,,2018-03-26,23.2,31.3,18.6,,,WNW,30.0,20:34,28.6,84.0,5.0,NE,2,1005.1,29.5,81.0,2.0,N,9.0,1000.2
