,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-05,13.9,24.4,0.0,,,SE,61.0,11:04,16.9,54,,SE,33,,22.9,36,,SSE,39,
1,,2018-03-06,12.7,26.8,0.0,,,S,54.0,17:46,17.5,57,,SSE,24,,25.5,29,,SE,30,
2,,2018-03-07,15.3,35.4,0.0,,,E,43.0,16:23,20.3,73,,SSE,20,,32.4,28,,ENE,15,
3,,2018-03-08,20.4,34.4,0.0,,,ESE,54.0,15:09,26.6,26,,E,9,,32.9,22,,ENE,20,
4,,2018-03-09,21.2,36.1,0.0,,,NE,43.0,16:06,27.8,28,,ESE,11,,35.3,14,,NE,17,
5,,2018-03-10,23.2,36.1,0.0,,,N,44.0,10:15,27.5,32,,N,6,,34.5,17,,ENE,13,
6,,2018-03-11,19.6,33.9,0.0,,,S,56.0,20:13,23.6,64,,SSE,24,,32.9,26,,S,28,
7,,2018-03-12,16.3,26.0,0.0,,,S,56.0,17:58,17.8,70,,S,37,,24.6,33,,S,33,
8,,2018-03-13,13.7,25.3,0.0,,,S,46.0,20:35,16.4,69,,SSE,28,,23.8,29,,SSE,30,
9,,2018-03-14,12.7,28.1,0.0,,,SSE,39.0,23:04,17.3,71,,S,20,,25.8,32,,SSW,7,
10,,2018-03-15,13.4,28.4,0.0,,,SSE,37.0,14:51,18.3,76,,S,13,,26.1,39,,S,19,
11,,2018-03-16,15.4,33.2,0.0,,,WSW,46.0,13:12,21.7,50,,N,17,,31.8,19,,W,19,
12,,2018-03-17,20.6,40.4,0.0,,,NNW,59.0,13:27,26.3,25,,N,31,,37.4,7,,NNW,39,
13,,2018-03-18,16.9,25.7,0.2,,,SW,46.0,11:20,17.6,63,,SW,31,,23.8,28,,S,17,
14,,2018-03-19,11.4,27.2,0.0,,,SE,37.0,16:55,15.6,62,,SW,13,,25.5,38,,SSW,15,
15,,2018-03-20,15.6,24.8,0.2,,,SSE,54.0,20:22,17.8,86,,SE,28,,23.6,48,,S,31,
16,,2018-03-21,11.0,25.4,0.0,,,SSE,41.0,23:25,15.4,60,,SSE,20,,23.5,28,,SE,9,
17,,2018-03-22,11.5,32.3,0.0,,,ESE,31.0,17:03,16.5,74,,S,15,,30.1,24,,S,13,
18,,2018-03-23,16.4,34.8,0.0,,,N,33.0,10:32,23.1,54,,NE,17,,31.5,27,,NNW,7,
19,,2018-03-24,21.7,37.5,0.0,,,NW,61.0,12:26,26.5,36,,N,19,,36.8,19,,WNW,35,
20,,2018-03-25,16.5,25.1,0.0,,,WSW,54.0,14:12,16.5,81,,WSW,24,,24.1,36,,WSW,33,
21,,2018-03-26,12.8,21.4,0.0,,,SSW,43.0,01:52,14.2,72,,SSE,7,,19.9,41,,S,13,
22,,2018-03-27,11.5,30.8,0.0,,,N,50.0,13:25,17.1,44,,NNE,26,,29.3,16,,N,30,
23,,2018-03-28,16.7,28.2,0.0,,,S,44.0,21:22,19.5,49,,SSW,13,,27.6,46,,SSW,11,
24,,2018-03-29,12.8,26.2,0.0,,,SE,35.0,15:57,16.6,80,,S,11,,24.7,41,,S,20,
25,,2018-03-30,12.9,25.5,0.0,,,S,39.0,16:39,16.7,75,,S,15,,24.8,45,,SSE,17,
26,,2018-03-31,12.2,31.5,0.0,,,NNW,31.0,12:01,15.8,86,,S,9,,29.4,26,,NW,7,
27,,2018-04-05,11.8,27.3,0.0,,,SSE,44.0,15:43,20.2,70,,SSE,15,,26.9,37,,S,17,
28,,2018-04-06,10.9,29.7,0.0,,,SE,30.0,19:21,18.1,73,,SSE,22,,29.0,24,,SSW,7,
29,,2018-04-07,13.4,34.0,0.0,,,WNW,39.0,14:52,23.7,31,,NNE,9,,33.4,12,,W,24,
30,,2018-04-08,18.2,37.3,0.0,,,N,43.0,11:33,27.0,20,,NNE,20,,35.7,10,,WNW,22,
31,,2018-04-09,18.7,38.2,0.0,,,N,46.0,11:49,27.6,18,,N,24,,37.4,9,,NNW,28,
32,,2018-04-10,21.5,38.8,0.0,,,NNW,44.0,10:56,29.6,16,,NNW,17,,38.0,9,,N,26,
33,,2018-04-11,20.1,37.2,0.0,,,N,76.0,13:22,29.2,18,,N,28,,36.5,10,,NNW,41,
34,,2018-04-12,17.2,27.2,0.0,,,WSW,35.0,00:06,18.4,72,,WSW,17,,26.8,29,,W,22,
35,,2018-04-13,13.0,27.8,0.0,,,W,96.0,17:42,19.8,43,,NW,22,,27.5,19,,WNW,43,
36,,2018-04-14,12.2,22.6,0.0,,,WSW,85.0,14:31,18.3,60,,W,37,,19.9,67,,W,43,
37,,2018-04-15,13.7,24.7,0.2,,,SW,50.0,16:57,16.0,92,,WNW,7,,23.1,52,,WSW,28,
38,,2018-04-16,15.7,24.6,0.0,,,SSE,37.0,18:24,18.0,79,,WSW,17,,22.9,55,,SSW,15,
39,,2018-04-17,12.5,25.9,0.0,,,SE,43.0,08:18,17.9,71,,SE,28,,24.8,36,,N,6,
40,,2018-04-18,14.0,29.6,0.0,,,WNW,37.0,14:10,20.2,57,,NNE,15,,28.1,32,,NW,17,
41,,2018-04-19,17.5,32.6,0.0,,,N,43.0,13:04,23.6,38,,N,24,,31.4,20,,NNE,13,
42,,2018-04-20,19.9,33.5,0.0,,,NNE,43.0,09:57,24.8,36,,NNE,22,,32.7,17,,N,15,
43,,2018-04-21,19.8,34.1,0.0,,,WSW,52.0,04:09,26.7,22,,NNE,17,,33.1,16,,SW,19,
44,,2018-04-22,15.5,34.9,0.0,,,NNW,39.0,13:38,23.7,47,,NNE,11,,34.1,13,,NNW,24,
