,none,Date,min_temp,max_temp,rainfall,evap,sunshine,direction_max_wind_gust,speed_max_wind_gust,time_max_wind_gust,9am_temp,9am_hum,9am_cloud,9am_wind_dir,9am_wind_speed,9am_msl_press,3pm_temp,3pm_hum,3pm_cloud,3pm_wind_dir,3pm_wind_speed,3pm_msl_press
0,,2018-03-04,7.4,23.0,0.0,,,NNW,33.0,16:12,14.0,65,,ENE,9,1012.4,21.6,27,2.0,WNW,17,1011.2
1,,2018-03-05,6.7,22.3,0.0,,,SSE,28.0,11:34,12.7,62,3.0,SE,9,1016.9,19.5,37,2.0,SW,9,1017.9
2,,2018-03-06,7.0,24.2,0.0,,,NNW,37.0,17:19,12.6,73,5.0,E,2,1027.5,22.2,39,,N,13,1026.3
3,,2018-03-07,7.7,25.4,0.0,,,NNW,35.0,15:49,14.4,69,,N,7,1029.1,24.2,31,,NW,20,1026.3
4,,2018-03-08,7.6,25.7,0.0,,,NNW,35.0,17:27,12.6,82,6.0,SSE,6,1028.0,24.8,32,,NNW,17,1025.6
5,,2018-03-09,9.4,25.6,0.0,,,NNW,31.0,13:30,15.4,75,5.0,N,6,1029.2,24.3,37,,N,17,1026.6
6,,2018-03-10,10.9,26.0,0.0,,,NNW,48.0,13:11,17.4,79,,NNE,7,1027.2,24.5,35,,NNW,31,1023.1
7,,2018-03-11,13.0,28.0,0.0,,,SSE,39.0,18:30,15.4,93,1.0,SSW,11,1018.2,26.8,25,,SSE,15,1016.5
8,,2018-03-12,7.9,21.6,0.0,,,W,39.0,16:24,10.5,75,1.0,NE,6,1016.7,19.7,44,2.0,NW,20,1014.6
9,,2018-03-13,5.4,24.5,0.0,,,N,28.0,09:45,12.8,70,,NNW,13,1018.6,22.8,36,1.0,NW,13,1016.8
10,,2018-03-14,12.1,22.8,0.0,,,NNW,28.0,14:39,14.3,73,8.0,ENE,4,1017.4,21.0,57,6.0,NNW,17,1013.7
11,,2018-03-15,9.7,20.4,0.0,,,SSE,37.0,17:55,11.6,92,8.0,NNE,2,1012.0,18.5,59,8.0,NNW,13,1011.9
12,,2018-03-16,9.9,19.5,0.4,,,N,39.0,22:39,13.2,69,1.0,SSE,24,1018.8,16.7,73,8.0,ESE,11,1016.9
13,,2018-03-17,13.2,25.9,2.8,,,NNW,52.0,11:56,18.0,87,3.0,NNW,17,1010.2,24.4,46,,NNW,35,1007.9
14,,2018-03-18,15.7,16.9,22.0,,,WNW,94.0,13:12,16.0,93,8.0,NNW,37,997.6,15.6,55,2.0,NW,35,998.6
15,,2018-03-19,11.0,21.6,11.0,,,NNW,91.0,07:06,16.4,71,8.0,NNW,52,1001.6,19.9,47,3.0,NW,46,1002.9
16,,2018-03-20,4.6,16.9,0.2,,,SSW,41.0,11:44,11.1,50,,W,15,1023.1,15.4,33,2.0,S,13,1027.5
17,,2018-03-21,3.9,17.1,0.0,,,SSE,39.0,10:35,9.7,70,1.0,S,26,1038.8,15.2,46,8.0,ESE,22,1037.0
