Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0005,87113,1995,,,,,,,25.3,15,17.5,02,19.7,09,15.2,13,25.2,20,22.0,18,31.3,19,30.4,17,30.1,09,
IDCJAC0005,87113,1996,35.6,14,33.9,26,32.5,25,20.8,24,23.6,10,18.4,03,16.6,19,18.2,25,24.1,16,30.8,24,32.8,25,35.2,21,35.6
IDCJAC0005,87113,1997,42.4,20,40.0,20,33.1,07,30.0,30,23.7,01,20.5,05,19.8,26,21.8,16,19.6,27,33.9,26,39.0,26,33.5,11,42.4
IDCJAC0005,87113,1998,41.6,17,40.8,26,40.7,12,30.6,07,21.7,29,20.9,04,16.4,05,20.3,28,28.5,28,31.4,01,31.3,26,42.2,11,42.2
IDCJAC0005,87113,1999,36.0,02,36.2,05,31.6,09,24.9,11,25.4,20,19.1,04,18.5,28,25.4,31,26.9,28,27.8,08,32.8,30,38.0,02,38.0
IDCJAC0005,87113,2000,37.2,18,39.8,03,37.9,02,26.7,29,20.4,08,18.7,25,18.6,23,20.0,03,22.8,16,27.2,05,38.3,28,38.8,21,39.8
IDCJAC0005,87113,2001,40.7,11,40.0,03,31.5,09,28.0,07,21.5,15,20.4,04,16.4,14,21.1,14,29.3,30,29.4,22,30.7,04,36.1,29,40.7
IDCJAC0005,87113,2002,38.8,26,37.8,15,35.8,24,31.5,03,28.0,08,18.9,12,19.8,27,20.1,10,29.7,15,31.7,18,36.2,12,37.9,02,38.8
IDCJAC0005,87113,2003,45.8,25,37.7,04,35.6,17,30.7,07,24.4,08,21.0,02,18.9,06,18.0,05,22.8,23,28.1,18,38.5,15,42.1,30,45.8
IDCJAC0005,87113,2004,39.2,20,42.6,08,36.6,04,31.8,14,21.8,15,22.6,08,16.4,10,22.5,26,26.3,21,33.9,12,36.5,26,37.1,18,42.6
IDCJAC0005,87113,2005,40.1,11,34.6,01,37.0,01,35.0,10,25.8,04,23.6,08,19.6,06,22.6,29,25.6,09,25.4,01,33.6,02,39.5,30,40.1
IDCJAC0005,87113,2006,43.2,22,38.7,24,40.1,12,29.3,11,19.9,02,17.8,22,17.4,28,23.9,31,31.3,19,37.8,12,36.3,30,39.1,10,43.2
IDCJAC0005,87113,2007,42.5,16,40.6,18,39.1,23,30.1,10,23.6,14,16.7,03,19.1,25,25.9,27,23.9,19,30.8,27,36.7,20,43.2,31,43.2
IDCJAC0005,87113,2008,41.6,10,37.2,19,42.0,16,29.6,11,22.7,15,18.7,11,17.6,06,17.1,31,28.9,26,33.8,18,35.4,13,35.7,22,42.0
IDCJAC0005,87113,2009,45.8,29,47.9,07,37.0,21,32.9,02,20.5,25,21.7,30,21.4,21,22.8,15,30.8,12,30.9,30,37.8,20,40.9,16,47.9
IDCJAC0005,87113,2010,45.7,11,36.4,20,34.1,04,31.5,20,25.7,04,18.1,23,18.6,30,18.2,30,19.7,26,29.3,29,32.2,12,42.8,31,45.7
IDCJAC0005,87113,2011,38.7,30,39.2,01,31.5,07,27.3,09,24.3,21,20.5,02,20.4,31,23.3,03,29.2,19,31.7,20,36.0,18,35.3,31,39.2
IDCJAC0005,87113,2012,41.1,02,39.4,25,33.0,14,31.5,06,24.3,09,16.4,16,17.8,16,19.5,28,26.7,27,33.2,31,39.5,29,38.8,23,41.1
IDCJAC0005,87113,2013,43.0,04,38.7,18,39.0,12,29.9,07,26.1,08,18.1,27,22.5,18,23.4,31,25.5,04,33.5,20,32.2,06,41.1,19,43.0
IDCJAC0005,87113,2014,46.3,17,39.5,09,35.5,04,36.1,01,24.7,22,19.2,11,19.1,28,23.4,31,30.4,28,34.1,22,35.9,08,33.4,16,46.3
IDCJAC0005,87113,2015,42.1,02,37.2,22,34.3,19,32.1,01,23.6,02,18.7,08,17.1,24,20.9,21,29.0,14,36.6,05,36.1,09,45.0,19,45.0
IDCJAC0005,87113,2016,44.4,13,42.7,23,35.6,17,31.3,05,27.9,07,17.1,09,19.7,18,22.3,18,23.3,08,26.0,25,38.1,21,39.8,28,44.4
IDCJAC0005,87113,2017,39.6,23,37.9,04,34.9,15,30.6,08,20.6,21,17.1,20,20.2,25,20.9,14,25.2,21,33.6,18,36.3,30,40.8,19,40.8
IDCJAC0005,87113,2018,44.2,06,36.5,23,35.3,17,33.0,08,25.0,03,17.7,11,19.5,27,20.7,10,26.2,27,29.8,22,35.2,01,41.0,07,44.2
IDCJAC0005,87113,2019,45.8,04,40.7,28,40.1,01,33.4,16,,,,,,,,,,,,,,,,,
