Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,63291,1991,12,34.8,27,Y
IDCJAC0005,63291,1992,01,32.5,20,Y
IDCJAC0005,63291,1992,02,31.0,22,Y
IDCJAC0005,63291,1992,03,29.9,15,Y
IDCJAC0005,63291,1992,04,25.9,01,Y
IDCJAC0005,63291,1992,05,20.9,06,Y
IDCJAC0005,63291,1992,06,16.6,01,Y
IDCJAC0005,63291,1992,07,17.2,28,Y
IDCJAC0005,63291,1992,08,18.4,17,Y
IDCJAC0005,63291,1992,09,22.6,23,Y
IDCJAC0005,63291,1992,10,23.7,16,Y
IDCJAC0005,63291,1992,11,26.1,20,Y
IDCJAC0005,63291,1992,12,30.2,31,Y
IDCJAC0005,63291,1993,01,34.3,20,Y
IDCJAC0005,63291,1993,02,35.0,02,Y
IDCJAC0005,63291,1993,03,27.1,06,Y
IDCJAC0005,63291,1993,04,27.0,05,Y
IDCJAC0005,63291,1993,05,22.1,02,Y
IDCJAC0005,63291,1993,06,15.4,06,Y
IDCJAC0005,63291,1993,07,18.1,24,Y
IDCJAC0005,63291,1993,08,19.7,15,Y
IDCJAC0005,63291,1993,09,22.7,30,Y
IDCJAC0005,63291,1993,10,25.7,09,Y
IDCJAC0005,63291,1993,11,30.1,19,Y
IDCJAC0005,63291,1993,12,34.3,01,Y
IDCJAC0005,63291,1994,01,34.2,12,Y
IDCJAC0005,63291,1994,02,33.2,08,Y
IDCJAC0005,63291,1994,03,26.6,04,Y
IDCJAC0005,63291,1994,04,26.0,01,Y
IDCJAC0005,63291,1994,05,23.5,01,Y
IDCJAC0005,63291,1994,06,17.2,06,Y
IDCJAC0005,63291,1994,07,17.8,06,Y
IDCJAC0005,63291,1994,08,20.6,28,Y
IDCJAC0005,63291,1994,09,23.3,04,Y
IDCJAC0005,63291,1994,10,28.8,17,Y
IDCJAC0005,63291,1994,11,32.4,12,Y
IDCJAC0005,63291,1994,12,36.5,21,Y
IDCJAC0005,63291,1995,01,32.7,01,Y
IDCJAC0005,63291,1995,02,32.6,05,Y
IDCJAC0005,63291,1995,03,31.6,08,Y
IDCJAC0005,63291,1995,04,22.7,29,Y
IDCJAC0005,63291,1995,05,21.1,13,Y
IDCJAC0005,63291,1995,06,18.3,09,Y
IDCJAC0005,63291,1995,07,12.9,22,Y
IDCJAC0005,63291,1995,08,23.6,21,Y
IDCJAC0005,63291,1995,09,23.7,15,Y
IDCJAC0005,63291,1995,10,26.9,20,Y
IDCJAC0005,63291,1995,11,31.7,28,Y
IDCJAC0005,63291,1995,12,32.5,30,Y
IDCJAC0005,63291,1996,01,36.7,31,Y
IDCJAC0005,63291,1996,02,31.7,19,Y
IDCJAC0005,63291,1996,03,29.2,14,Y
IDCJAC0005,63291,1996,04,27.8,07,Y
IDCJAC0005,63291,1996,05,22.2,11,Y
IDCJAC0005,63291,1996,06,18.5,03,Y
IDCJAC0005,63291,1996,07,14.0,04,Y
IDCJAC0005,63291,1996,08,18.0,14,Y
IDCJAC0005,63291,1996,09,23.5,17,Y
IDCJAC0005,63291,1996,10,25.7,11,Y
IDCJAC0005,63291,1996,11,27.8,26,Y
IDCJAC0005,63291,1996,12,31.8,25,Y
IDCJAC0005,63291,1997,01,32.2,20,Y
IDCJAC0005,63291,1997,02,38.2,27,Y
