Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,61250,1967,11,13.2,Y
IDCJAC0001,61250,1967,12,30.9,Y
IDCJAC0001,61250,1968,01,276.2,Y
IDCJAC0001,61250,1968,02,48.2,Y
IDCJAC0001,61250,1968,03,277.4,Y
IDCJAC0001,61250,1968,04,13.9,Y
IDCJAC0001,61250,1968,05,112.0,Y
IDCJAC0001,61250,1968,06,7.9,Y
IDCJAC0001,61250,1968,07,27.0,Y
IDCJAC0001,61250,1968,08,110.6,Y
IDCJAC0001,61250,1968,09,9.1,Y
IDCJAC0001,61250,1968,10,1.3,Y
IDCJAC0001,61250,1968,11,23.9,Y
IDCJAC0001,61250,1968,12,66.3,Y
IDCJAC0001,61250,1969,01,8.2,Y
IDCJAC0001,61250,1969,02,138.5,Y
IDCJAC0001,61250,1969,03,115.9,Y
IDCJAC0001,61250,1969,04,87.7,Y
IDCJAC0001,61250,1969,05,46.9,Y
IDCJAC0001,61250,1969,06,166.2,Y
IDCJAC0001,61250,1969,07,25.5,Y
IDCJAC0001,61250,1969,08,67.3,Y
IDCJAC0001,61250,1969,09,38.2,Y
IDCJAC0001,61250,1969,10,160.8,Y
IDCJAC0001,61250,1969,11,140.2,Y
IDCJAC0001,61250,1969,12,49.1,Y
IDCJAC0001,61250,1970,01,217.9,Y
IDCJAC0001,61250,1970,02,30.8,Y
IDCJAC0001,61250,1970,03,54.8,Y
IDCJAC0001,61250,1970,04,29.6,Y
IDCJAC0001,61250,1970,05,10.6,Y
IDCJAC0001,61250,1970,06,10.7,Y
IDCJAC0001,61250,1970,07,0.0,Y
IDCJAC0001,61250,1970,08,14.3,Y
IDCJAC0001,61250,1970,09,118.2,Y
IDCJAC0001,61250,1970,10,32.8,Y
IDCJAC0001,61250,1970,11,70.9,Y
IDCJAC0001,61250,1970,12,203.9,Y
IDCJAC0001,61250,1971,01,319.9,Y
IDCJAC0001,61250,1971,02,205.4,Y
IDCJAC0001,61250,1971,03,82.5,Y
IDCJAC0001,61250,1971,04,29.7,Y
IDCJAC0001,61250,1971,05,62.3,Y
IDCJAC0001,61250,1971,06,84.7,Y
IDCJAC0001,61250,1971,07,22.0,Y
IDCJAC0001,61250,1971,08,20.0,Y
IDCJAC0001,61250,1971,09,15.4,Y
IDCJAC0001,61250,1971,10,9.2,Y
IDCJAC0001,61250,1971,11,37.2,Y
IDCJAC0001,61250,1971,12,172.9,Y
IDCJAC0001,61250,1972,01,308.0,Y
IDCJAC0001,61250,1972,02,19.6,Y
IDCJAC0001,61250,1972,03,126.0,Y
IDCJAC0001,61250,1972,04,75.8,Y
IDCJAC0001,61250,1972,05,70.3,Y
IDCJAC0001,61250,1972,06,57.3,Y
IDCJAC0001,61250,1972,07,2.3,Y
IDCJAC0001,61250,1972,08,61.4,Y
IDCJAC0001,61250,1972,09,32.7,Y
IDCJAC0001,61250,1972,10,145.3,Y
IDCJAC0001,61250,1972,11,126.8,Y
IDCJAC0001,61250,1972,12,30.9,Y
IDCJAC0001,61250,1973,01,33.3,Y
IDCJAC0001,61250,1973,02,189.4,Y
IDCJAC0001,61250,1973,03,51.7,Y
IDCJAC0001,61250,1973,04,18.3,Y
IDCJAC0001,61250,1973,05,15.5,Y
IDCJAC0001,61250,1973,06,22.4,Y
IDCJAC0001,61250,1973,07,49.6,Y
IDCJAC0001,61250,1973,08,31.8,Y
IDCJAC0001,61250,1973,09,21.8,Y
IDCJAC0001,61250,1973,10,109.5,Y
IDCJAC0001,61250,1973,11,120.2,Y
IDCJAC0001,61250,1973,12,52.9,Y
IDCJAC0001,61250,1974,01,214.5,Y
IDCJAC0001,61250,1974,02,66.9,Y
IDCJAC0001,61250,1974,03,113.2,Y
IDCJAC0001,61250,1974,04,115.0,Y
IDCJAC0001,61250,1974,05,105.6,Y
IDCJAC0001,61250,1974,06,148.6,Y
IDCJAC0001,61250,1974,07,16.5,Y
IDCJAC0001,61250,1974,08,52.4,Y
IDCJAC0001,61250,1974,09,16.0,Y
IDCJAC0001,61250,1974,10,57.8,Y
IDCJAC0001,61250,1974,11,120.0,Y
IDCJAC0001,61250,1974,12,24.6,Y
IDCJAC0001,61250,1975,01,43.0,Y
IDCJAC0001,61250,1975,02,103.1,Y
IDCJAC0001,61250,1975,03,78.4,Y
IDCJAC0001,61250,1975,04,94.2,Y
IDCJAC0001,61250,1975,05,21.5,Y
IDCJAC0001,61250,1975,06,166.6,Y
IDCJAC0001,61250,1975,07,18.7,Y
IDCJAC0001,61250,1975,08,23.7,Y
IDCJAC0001,61250,1975,09,86.1,Y
IDCJAC0001,61250,1975,10,29.1,Y
IDCJAC0001,61250,1975,11,51.1,Y
IDCJAC0001,61250,1975,12,92.7,Y
IDCJAC0001,61250,1976,01,180.6,Y
IDCJAC0001,61250,1976,02,218.2,Y
IDCJAC0001,61250,1976,03,268.6,Y
IDCJAC0001,61250,1976,04,43.6,Y
IDCJAC0001,61250,1976,05,27.6,Y
IDCJAC0001,61250,1976,06,86.6,Y
IDCJAC0001,61250,1976,07,72.5,Y
IDCJAC0001,61250,1976,08,23.4,Y
IDCJAC0001,61250,1976,09,31.8,Y
IDCJAC0001,61250,1976,10,93.1,Y
IDCJAC0001,61250,1976,11,48.6,Y
IDCJAC0001,61250,1976,12,20.4,Y
IDCJAC0001,61250,1977,01,50.2,Y
IDCJAC0001,61250,1977,02,249.8,Y
IDCJAC0001,61250,1977,03,268.6,Y
IDCJAC0001,61250,1977,04,25.2,Y
IDCJAC0001,61250,1977,05,226.4,Y
