Product code,Station Number,Year,Jan,Day,Feb,Day,Mar,Day,Apr,Day,May,Day,Jun,Day,Jul,Day,Aug,Day,Sep,Day,Oct,Day,Nov,Day,Dec,Day,Annual
IDCJAC0008,18192,1992,,,,,,,7.3,29,5.3,23,4.0,27,3.9,29,2.9,02,2.8,13,6.4,22,4.1,02,11.0,26,
IDCJAC0008,18192,1993,10.6,07,10.1,28,9.9,13,7.8,30,5.0,19,4.7,01,5.4,21,3.9,04,4.8,22,4.8,02,6.5,06,10.4,29,3.9
IDCJAC0008,18192,1994,9.6,09,12.8,21,8.9,14,7.0,21,6.9,20,3.7,27,2.8,23,1.9,16,0.1,27,4.0,22,7.4,04,8.0,26,0.1
IDCJAC0008,18192,1995,12.6,31,9.2,07,8.3,21,5.2,27,5.7,18,5.3,04,3.8,07,2.2,13,3.7,12,5.0,25,6.0,23,5.2,06,2.2
IDCJAC0008,18192,1996,8.8,21,10.4,15,9.0,01,6.0,22,5.7,17,2.9,15,3.7,30,4.6,20,4.5,21,4.4,17,6.3,11,7.8,08,2.9
IDCJAC0008,18192,1997,12.3,04,14.5,28,8.8,25,8.7,25,6.3,31,5.0,20,1.4,20,1.9,04,4.5,04,5.9,07,7.5,16,9.6,16,1.4
IDCJAC0008,18192,1998,10.6,30,8.6,17,10.4,18,7.4,05,6.4,08,2.3,18,2.9,13,4.2,24,2.5,20,5.4,16,8.0,13,9.1,03,2.3
IDCJAC0008,18192,1999,13.5,15,12.8,18,11.6,05,5.1,24,6.1,02,4.1,11,3.2,04,1.3,03,4.0,19,6.1,26,5.8,08,9.7,11,1.3
IDCJAC0008,18192,2000,12.3,10,12.1,14,10.1,26,7.0,26,5.3,27,3.1,14,5.3,13,4.0,29,3.5,20,4.0,03,8.6,03,8.1,01,3.1
IDCJAC0008,18192,2001,13.1,09,11.8,27,8.8,31,7.3,14,6.2,22,4.1,18,3.4,01,2.5,03,4.2,26,3.5,05,8.0,15,5.5,01,2.5
IDCJAC0008,18192,2002,8.5,04,9.5,17,8.3,12,7.8,30,5.1,29,1.5,30,3.4,01,2.6,16,2.2,11,5.0,09,4.5,05,8.1,03,1.5
IDCJAC0008,18192,2003,11.6,03,11.9,28,10.2,25,7.7,06,5.5,06,5.4,17,4.8,17,2.2,01,2.2,28,3.7,09,4.8,03,10.2,02,2.2
IDCJAC0008,18192,2004,8.6,09,10.9,05,10.3,19,9.5,29,5.9,11,4.7,27,2.7,21,2.7,15,3.1,05,4.4,04,5.1,03,8.3,02,2.7
IDCJAC0008,18192,2005,11.3,30,11.7,02,10.4,19,8.8,19,6.5,30,6.1,03,4.4,08,3.7,06,4.3,01,2.3,14,6.3,11,8.7,09,2.3
IDCJAC0008,18192,2006,14.2,03,11.6,12,11.1,09,6.3,26,3.0,25,1.5,15,4.9,21,2.2,12,3.3,28,3.0,06,7.2,14,10.2,01,1.5
IDCJAC0008,18192,2007,12.6,10,14.1,13,10.8,29,9.7,20,6.8,30,3.6,23,3.6,21,2.4,20,2.5,05,4.7,04,7.5,04,8.8,11,2.4
IDCJAC0008,18192,2008,12.6,27,14.0,07,7.1,28,7.2,19,6.9,17,5.6,25,3.5,28,3.6,14,3.1,30,3.6,05,8.5,30,8.4,15,3.1
IDCJAC0008,18192,2009,11.0,23,13.9,17,9.8,20,8.0,18,7.0,27,5.7,18,5.0,23,3.2,08,3.8,14,4.6,04,7.9,24,6.5,09,3.2
IDCJAC0008,18192,2010,10.7,19,13.6,26,10.1,25,8.5,28,5.9,13,3.6,14,2.7,05,3.9,22,3.5,30,4.6,07,5.8,17,8.9,13,2.7
IDCJAC0008,18192,2011,12.6,23,14.7,05,10.0,30,6.8,12,5.8,16,4.0,27,3.2,21,4.1,26,3.2,13,6.1,18,8.2,21,10.1,07,3.2
IDCJAC0008,18192,2012,12.2,09,11.6,09,9.8,30,7.6,13,4.8,16,3.8,11,2.8,07,3.1,01,3.5,10,2.9,17,7.0,09,8.1,03,2.8
IDCJAC0008,18192,2013,11.1,01,12.4,05,10.3,29,8.0,17,6.4,17,4.3,25,3.9,08,4.4,08,6.1,29,3.8,25,7.6,18,8.1,05,3.8
IDCJAC0008,18192,2014,11.2,05,11.9,20,10.5,20,7.5,23,6.7,04,5.8,10,4.6,22,3.1,04,3.2,18,4.1,16,6.5,09,9.6,19,3.1
IDCJAC0008,18192,2015,10.8,16,11.6,10,9.2,25,7.7,28,5.4,17,2.6,02,2.9,20,2.9,30,3.6,29,4.6,01,6.1,27,7.9,02,2.6
IDCJAC0008,18192,2016,11.5,17,12.7,15,8.3,30,6.5,25,7.5,14,3.4,14,-0.3,16,2.5,06,3.6,28,4.2,01,4.7,03,8.1,16,-0.3
IDCJAC0008,18192,2017,13.2,16,10.8,03,8.8,31,8.4,14,5.6,12,0.7,04,3.6,21,3.2,29,4.6,25,5.0,10,6.7,01,9.2,09,0.7
IDCJAC0008,18192,2018,12.9,01,10.8,15,7.9,22,9.8,28,6.0,31,4.6,28,1.9,13,2.4,22,2.0,04,6.1,21,5.3,07,8.7,02,1.9
IDCJAC0008,18192,2019,10.3,14,6.8,14,7.7,07,6.9,28,,,,,,,,,,,,,,,,,
