Product code,Station number,Year,Month,Highest temperature (°C),Day,Quality
IDCJAC0005,72023,1973,11,31.9,19,Y
IDCJAC0005,72023,1973,12,34.6,29,Y
IDCJAC0005,72023,1974,01,33.5,26,Y
IDCJAC0005,72023,1974,02,32.3,01,Y
IDCJAC0005,72023,1974,03,34.0,05,Y
IDCJAC0005,72023,1974,04,24.0,18,Y
IDCJAC0005,72023,1974,05,21.5,09,Y
IDCJAC0005,72023,1974,06,18.4,11,Y
IDCJAC0005,72023,1974,07,16.0,23,Y
IDCJAC0005,72023,1974,08,17.0,23,Y
IDCJAC0005,72023,1974,09,21.4,30,Y
IDCJAC0005,72023,1974,10,25.9,29,Y
IDCJAC0005,72023,1974,11,30.6,22,Y
IDCJAC0005,72023,1974,12,35.1,27,Y
IDCJAC0005,72023,1975,01,38.4,02,Y
IDCJAC0005,72023,1975,02,35.7,02,Y
IDCJAC0005,72023,1975,07,21.3,28,Y
IDCJAC0005,72023,1975,08,15.4,18,Y
IDCJAC0005,72023,1975,09,23.9,17,Y
IDCJAC0005,72023,1975,10,24.7,29,Y
IDCJAC0005,72023,1975,11,35.2,29,Y
IDCJAC0005,72023,1975,12,38.6,12,Y
IDCJAC0005,72023,1976,01,37.6,04,Y
IDCJAC0005,72023,1976,02,36.5,15,Y
IDCJAC0005,72023,1976,03,32.4,18,Y
IDCJAC0005,72023,1976,04,29.9,03,Y
IDCJAC0005,72023,1976,05,24.1,03,Y
IDCJAC0005,72023,1976,06,19.4,26,Y
IDCJAC0005,72023,1976,07,18.3,24,Y
IDCJAC0005,72023,1976,08,22.6,22,Y
IDCJAC0005,72023,1976,09,23.1,19,Y
IDCJAC0005,72023,1976,10,24.0,31,Y
IDCJAC0005,72023,1976,11,30.5,11,Y
IDCJAC0005,72023,1976,12,37.8,31,Y
IDCJAC0005,72023,1977,01,39.0,09,Y
IDCJAC0005,72023,1977,02,38.5,16,Y
IDCJAC0005,72023,1977,03,32.0,14,Y
IDCJAC0005,72023,1977,04,28.7,05,Y
