Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,63291,1994,06,11.6,N
IDCJAC0001,63291,1994,07,28.0,N
IDCJAC0001,63291,1994,08,6.6,N
IDCJAC0001,63291,1994,09,9.6,N
IDCJAC0001,63291,1994,10,42.4,N
IDCJAC0001,63291,1994,11,54.6,N
IDCJAC0001,63291,1994,12,63.4,N
IDCJAC0001,63291,1995,01,148.2,N
IDCJAC0001,63291,1995,02,9.2,N
IDCJAC0001,63291,1995,03,0.4,N
IDCJAC0001,63291,1995,04,1.2,N
IDCJAC0001,63291,1995,05,54.2,N
IDCJAC0001,63291,1995,06,14.2,N
IDCJAC0001,63291,1995,07,22.6,N
IDCJAC0001,63291,1995,08,1.4,N
IDCJAC0001,63291,1995,09,36.6,N
IDCJAC0001,63291,1995,10,9.0,N
IDCJAC0001,63291,1995,11,16.6,N
IDCJAC0001,63291,1995,12,52.2,N
IDCJAC0001,63291,1996,01,46.6,N
IDCJAC0001,63291,1996,02,30.2,N
IDCJAC0001,63291,1996,03,53.0,N
IDCJAC0001,63291,1996,04,4.2,N
IDCJAC0001,63291,1996,05,42.2,N
IDCJAC0001,63291,1996,06,53.8,N
IDCJAC0001,63291,1996,07,103.0,N
IDCJAC0001,63291,1996,08,41.0,N
IDCJAC0001,63291,1996,09,60.4,N
IDCJAC0001,63291,1996,10,75.2,N
IDCJAC0001,63291,1996,11,43.6,N
IDCJAC0001,63291,1996,12,75.8,N
IDCJAC0001,63291,1997,01,33.0,N
IDCJAC0001,63291,1997,02,95.0,N
IDCJAC0001,63291,1997,03,9.8,N
IDCJAC0001,63291,1997,04,3.4,N
IDCJAC0001,63291,1997,05,41.6,N
IDCJAC0001,63291,1997,06,18.6,N
IDCJAC0001,63291,1997,07,14.6,N
IDCJAC0001,63291,1997,08,20.3,N
IDCJAC0001,63291,1997,09,55.0,N
IDCJAC0001,63291,1997,10,30.0,N
IDCJAC0001,63291,1997,11,19.2,N
IDCJAC0001,63291,1997,12,33.4,N
IDCJAC0001,63291,1998,01,97.0,N
IDCJAC0001,63291,1998,02,58.6,N
IDCJAC0001,63291,1998,03,4.6,N
IDCJAC0001,63291,1998,04,68.2,N
IDCJAC0001,63291,1998,05,85.4,N
IDCJAC0001,63291,1998,06,89.4,N
IDCJAC0001,63291,1998,07,85.6,N
IDCJAC0001,63291,1998,08,121.0,N
IDCJAC0001,63291,1998,09,67.2,N
IDCJAC0001,63291,1998,10,79.1,N
IDCJAC0001,63291,1998,11,62.6,N
IDCJAC0001,63291,1998,12,34.8,N
IDCJAC0001,63291,1999,01,30.8,N
IDCJAC0001,63291,1999,02,4.4,N
IDCJAC0001,63291,1999,03,73.0,N
IDCJAC0001,63291,1999,04,37.6,N
IDCJAC0001,63291,1999,05,12.4,N
IDCJAC0001,63291,1999,06,38.8,N
IDCJAC0001,63291,1999,07,32.4,N
IDCJAC0001,63291,1999,08,58.4,N
IDCJAC0001,63291,1999,09,53.0,N
IDCJAC0001,63291,1999,10,193.0,N
IDCJAC0001,63291,1999,11,52.8,N
IDCJAC0001,63291,1999,12,89.2,N
IDCJAC0001,63291,2000,01,60.0,N
IDCJAC0001,63291,2000,02,9.0,N
IDCJAC0001,63291,2000,03,135.0,N
IDCJAC0001,63291,2000,04,50.2,N
IDCJAC0001,63291,2000,05,47.4,N
IDCJAC0001,63291,2000,06,35.4,N
IDCJAC0001,63291,2000,07,33.4,N
IDCJAC0001,63291,2000,08,71.0,N
IDCJAC0001,63291,2000,09,39.8,N
IDCJAC0001,63291,2000,10,99.0,N
IDCJAC0001,63291,2000,11,82.0,N
IDCJAC0001,63291,2000,12,12.4,N
IDCJAC0001,63291,2001,01,71.6,N
IDCJAC0001,63291,2001,02,41.4,N
IDCJAC0001,63291,2001,03,55.6,N
IDCJAC0001,63291,2001,04,76.4,N
IDCJAC0001,63291,2001,05,18.4,N
IDCJAC0001,63291,2001,06,28.2,N
IDCJAC0001,63291,2001,07,54.0,N
IDCJAC0001,63291,2001,08,31.8,N
IDCJAC0001,63291,2001,09,43.2,N
IDCJAC0001,63291,2001,10,95.8,N
IDCJAC0001,63291,2001,11,67.4,N
IDCJAC0001,63291,2001,12,30.4,N
IDCJAC0001,63291,2002,01,68.6,N
IDCJAC0001,63291,2002,02,117.7,N
IDCJAC0001,63291,2002,03,39.0,N
IDCJAC0001,63291,2002,04,44.8,N
IDCJAC0001,63291,2002,05,26.6,N
IDCJAC0001,63291,2002,06,22.4,N
IDCJAC0001,63291,2002,07,11.8,N
IDCJAC0001,63291,2002,08,6.8,N
IDCJAC0001,63291,2002,09,37.2,N
IDCJAC0001,63291,2002,10,1.2,N
IDCJAC0001,63291,2002,11,10.0,N
IDCJAC0001,63291,2002,12,53.2,N
IDCJAC0001,63291,2003,01,23.2,N
IDCJAC0001,63291,2003,02,116.0,N
IDCJAC0001,63291,2003,03,33.2,N
IDCJAC0001,63291,2003,04,31.2,N
IDCJAC0001,63291,2003,05,9.2,N
IDCJAC0001,63291,2003,06,40.0,N
IDCJAC0001,63291,2003,07,34.6,N
IDCJAC0001,63291,2003,08,84.2,N
IDCJAC0001,63291,2003,09,17.0,N
IDCJAC0001,63291,2003,10,60.4,N
